P7_amp TP7_amp CP5_amp ROI_GA_amp P7_lat TP7_lat CP5_lat ROI_GA_lat emotion ID Trial hem
-10.49766 -10.50578 -4.585893 -8.529778 202.4048 202.4048 214.4289 206.4128 1 1 4 1
6.811908 6.664087 12.92744 8.801147 218.4369 218.4369 214.4289 217.1009 1 1 6 1
-1.313512 -2.545261 -7.571704 -3.810159 218.4369 218.4369 218.4369 218.4369 1 1 11 1
-2.039407 -2.305221 -4.654491 -2.999706 202.4048 202.4048 202.4048 202.4048 1 1 14 1
-13.30143 -11.98095 -21.45011 -15.5775 218.4369 218.4369 218.4369 218.4369 1 1 16 1
-5.431371 -5.946541 -16.6152 -9.331037 218.4369 218.4369 218.4369 218.4369 1 1 19 1
-13.52924 -14.68121 -14.82718 -14.34587 218.4369 218.4369 218.4369 218.4369 1 1 22 1
-22.9635 -24.23193 -22.206 -23.13381 208.4168 208.4168 218.4369 211.7569 1 1 27 1
-2.467271 -2.026836 -4.037645 -2.843917 218.4369 218.4369 218.4369 218.4369 1 1 31 1
8.031712 9.0222 15.07309 10.709 208.4168 208.4168 218.4369 211.7569 1 1 35 1
-10.62158 -11.92983 -7.071014 -9.874143 218.4369 218.4369 218.4369 218.4369 1 1 37 1
11.76355 12.02508 9.258799 11.01581 202.4048 202.4048 204.4088 203.0728 1 1 40 1
5.058419 4.630501 8.48439 6.05777 218.4369 218.4369 202.4048 213.0928 1 1 45 1
-9.051804 -8.868183 -8.864226 -8.928071 202.4048 202.4048 210.4208 205.0768 1 1 49 1
10.85469 11.22575 -10.55347 3.842324 202.4048 202.4048 214.4289 206.4128 1 1 53 1
-11.70061 -12.30657 -8.687343 -10.89817 212.4249 210.4208 218.4369 213.7608 1 1 54 1
13.9764 13.26724 3.337692 10.19378 202.4048 202.4048 218.4369 207.7488 1 1 58 1
11.52493 11.64831 -1.008836 7.388134 216.4329 206.4128 218.4369 213.7608 1 1 61 1
3.604906 3.430113 -16.96021 -3.308395 202.4048 202.4048 204.4088 203.0728 1 1 66 1
-4.841106 -4.525526 -22.41928 -10.59531 218.4369 218.4369 218.4369 218.4369 1 1 68 1
-30.93374 -29.84669 -28.41834 -29.73292 210.4208 208.4168 218.4369 212.4249 1 1 71 1
