amplitude ID time cond
0.582864 1 -200.4008 1
0.7302297 1 -198.3968 1
0.8494691 1 -196.3928 1
0.92904 1 -194.3888 1
0.9848983 1 -192.3848 1
1.028134 1 -190.3808 1
1.049964 1 -188.3768 1
1.045324 1 -186.3727 1
1.040082 1 -184.3687 1
1.052113 1 -182.3647 1
1.072471 1 -180.3607 1
1.102502 1 -178.3567 1
1.149986 1 -176.3527 1
1.189987 1 -174.3487 1
1.185121 1 -172.3447 1
1.142961 1 -170.3407 1
1.09914 1 -168.3367 1
1.059873 1 -166.3327 1
1.004427 1 -164.3287 1
0.9098241 1 -162.3246 1
0.7727578 1 -160.3206 1
0.6100811 1 -158.3166 1
0.4413213 1 -156.3126 1
0.2880694 1 -154.3086 1
0.1672219 1 -152.3046 1
0.0843958 1 -150.3006 1
0.02349956 1 -148.2966 1
-0.04150103 1 -146.2926 1
-0.126783 1 -144.2886 1
-0.2368015 1 -142.2846 1
-0.3494823 1 -140.2806 1
-0.4539247 1 -138.2766 1
-0.575287 1 -136.2726 1
-0.7131005 1 -134.2685 1
-0.8262427 1 -132.2645 1
-0.8875142 1 -130.2605 1
-0.9133403 1 -128.2565 1
-0.9379944 1 -126.2525 1
-0.9802854 1 -124.2485 1
-1.024093 1 -122.2445 1
-1.034573 1 -120.2405 1
-0.9986613 1 -118.2365 1
-0.9437569 1 -116.2325 1
-0.9146979 1 -114.2285 1
-0.908523 1 -112.2244 1
-0.8928216 1 -110.2204 1
-0.8707108 1 -108.2164 1
-0.8707884 1 -106.2124 1
-0.9034533 1 -104.2084 1
-0.9406589 1 -102.2044 1
-0.9524516 1 -100.2004 1
-0.9392993 1 -98.1964 1
-0.9171864 1 -96.19238 1
-0.8932401 1 -94.18838 1
-0.8792439 1 -92.18437 1
-0.8850883 1 -90.18036 1
-0.8860736 1 -88.17635 1
-0.8474255 1 -86.17235 1
-0.7721508 1 -84.16833 1
-0.6866311 1 -82.16433 1
-0.5942318 1 -80.16032 1
-0.4993861 1 -78.15631 1
-0.4233366 1 -76.15231 1
-0.3672216 1 -74.1483 1
-0.316392 1 -72.14429 1
-0.2715808 1 -70.14028 1
-0.2502055 1 -68.13628 1
-0.2556088 1 -66.13226 1
-0.2667208 1 -64.12826 1
-0.2627895 1 -62.12425 1
-0.241959 1 -60.12024 1
-0.2162321 1 -58.11623 1
-0.1876405 1 -56.11222 1
-0.1429227 1 -54.10822 1
-0.07438889 1 -52.10421 1
0.004966716 1 -50.1002 1
0.0817553 1 -48.09619 1
0.1456774 1 -46.09219 1
0.1837235 1 -44.08818 1
0.1967991 1 -42.08417 1
0.200713 1 -40.08016 1
0.2100995 1 -38.07615 1
0.216884 1 -36.07214 1
0.2088651 1 -34.06814 1
0.1863782 1 -32.06413 1
0.1641691 1 -30.06012 1
0.1666988 1 -28.05611 1
0.2025423 1 -26.0521 1
0.2662873 1 -24.0481 1
0.3423302 1 -22.04409 1
0.4139827 1 -20.04008 1
0.4769254 1 -18.03607 1
0.5377833 1 -16.03206 1
0.5934355 1 -14.02806 1
0.6161321 1 -12.02405 1
0.5888865 1 -10.02004 1
0.5277867 1 -8.016032 1
0.4591254 1 -6.012024 1
0.4051493 1 -4.008016 1
0.3815478 1 -2.004008 1
0.3826298 1 0 1
0.3838118 1 2.004008 1
0.3743243 1 4.008016 1
0.3671618 1 6.012024 1
0.3727804 1 8.016032 1
0.3902512 1 10.02004 1
0.4214915 1 12.02405 1
0.456896 1 14.02806 1
0.4737676 1 16.03206 1
0.4465897 1 18.03607 1
0.3604635 1 20.04008 1
0.2376628 1 22.04409 1
0.1059209 1 24.0481 1
-0.02728659 1 26.0521 1
-0.1455357 1 28.05611 1
-0.2302911 1 30.06012 1
-0.2786294 1 32.06413 1
-0.294294 1 34.06814 1
-0.2840257 1 36.07214 1
-0.2570308 1 38.07615 1
-0.2236821 1 40.08016 1
-0.1827448 1 42.08417 1
-0.1185828 1 44.08818 1
-0.03260863 1 46.09219 1
0.0498513 1 48.09619 1
0.107177 1 50.1002 1
0.1345513 1 52.10421 1
0.1441902 1 54.10822 1
0.1565757 1 56.11222 1
0.1786379 1 58.11623 1
0.2039333 1 60.12024 1
0.2370748 1 62.12425 1
0.2812543 1 64.12826 1
0.3229745 1 66.13226 1
0.3594855 1 68.13628 1
0.4003714 1 70.14028 1
0.4439494 1 72.14429 1
0.4974145 1 74.1483 1
0.5750678 1 76.15231 1
0.6543291 1 78.15631 1
0.7012918 1 80.16032 1
0.7194046 1 82.16433 1
0.7284526 1 84.16833 1
0.7453573 1 86.17235 1
0.78414 1 88.17635 1
0.8337566 1 90.18036 1
0.8718887 1 92.18437 1
0.888742 1 94.18838 1
0.8929415 1 96.19238 1
0.9276034 1 98.1964 1
1.015108 1 100.2004 1
1.123969 1 102.2044 1
1.230673 1 104.2084 1
1.337761 1 106.2124 1
1.440581 1 108.2164 1
1.520406 1 110.2204 1
1.570402 1 112.2244 1
1.608694 1 114.2285 1
1.640397 1 116.2325 1
1.634459 1 118.2365 1
1.580287 1 120.2405 1
1.519616 1 122.2445 1
1.48755 1 124.2485 1
1.472988 1 126.2525 1
1.448437 1 128.2565 1
1.406611 1 130.2605 1
1.349008 1 132.2645 1
1.265961 1 134.2685 1
1.151027 1 136.2726 1
1.009892 1 138.2766 1
0.8466642 1 140.2806 1
0.6584477 1 142.2846 1
0.443142 1 144.2886 1
0.2077455 1 146.2926 1
-0.03075319 1 148.2966 1
-0.2744617 1 150.3006 1
-0.5572253 1 152.3046 1
-0.8847064 1 154.3086 1
-1.208421 1 156.3126 1
-1.499645 1 158.3166 1
-1.772492 1 160.3206 1
-2.038541 1 162.3246 1
-2.297909 1 164.3287 1
-2.551034 1 166.3327 1
-2.800005 1 168.3367 1
-3.040949 1 170.3407 1
-3.264283 1 172.3447 1
-3.473323 1 174.3487 1
-3.685061 1 176.3527 1
-3.909506 1 178.3567 1
-4.15004 1 180.3607 1
-4.398041 1 182.3647 1
-4.632628 1 184.3687 1
-4.850985 1 186.3727 1
-5.050016 1 188.3768 1
-5.203367 1 190.3808 1
-5.285331 1 192.3848 1
-5.296833 1 194.3888 1
-5.262039 1 196.3928 1
-5.200032 1 198.3968 1
-5.114244 1 200.4008 1
-4.988305 1 202.4048 1
-4.803948 1 204.4088 1
-4.576564 1 206.4128 1
-4.346641 1 208.4168 1
-4.127707 1 210.4208 1
-3.89985 1 212.4249 1
-3.64528 1 214.4289 1
-3.361383 1 216.4329 1
-3.06266 1 218.4369 1
-2.770713 1 220.4409 1
-2.49635 1 222.4449 1
-2.247611 1 224.4489 1
-2.022732 1 226.4529 1
-1.796106 1 228.4569 1
-1.548528 1 230.4609 1
-1.274978 1 232.4649 1
-0.9673042 1 234.4689 1
-0.6450399 1 236.4729 1
-0.3528681 1 238.477 1
-0.1203703 1 240.481 1
0.0646526 1 242.485 1
0.2361492 1 244.489 1
0.3971088 1 246.493 1
0.5342664 1 248.497 1
0.6459081 1 250.501 1
0.7268924 1 252.505 1
0.7699881 1 254.509 1
0.7863207 1 256.513 1
0.8160226 1 258.517 1
0.8911119 1 260.5211 1
0.9911053 1 262.5251 1
1.070344 1 264.5291 1
1.120525 1 266.5331 1
1.158106 1 268.5371 1
1.182788 1 270.5411 1
1.197989 1 272.5451 1
1.210192 1 274.5491 1
1.217023 1 276.5531 1
1.228475 1 278.5571 1
1.259626 1 280.5611 1
1.314538 1 282.5651 1
1.382824 1 284.5692 1
1.447948 1 286.5732 1
1.5076 1 288.5771 1
1.573078 1 290.5812 1
1.648548 1 292.5852 1
1.738695 1 294.5892 1
1.871272 1 296.5932 1
2.075919 1 298.5972 1
2.346551 1 300.6012 1
2.643508 1 302.6052 1
2.936264 1 304.6092 1
3.237169 1 306.6132 1
3.550161 1 308.6172 1
3.841711 1 310.6212 1
4.091585 1 312.6252 1
4.299446 1 314.6293 1
4.470677 1 316.6333 1
4.623496 1 318.6373 1
4.774636 1 320.6413 1
4.942938 1 322.6453 1
5.149403 1 324.6493 1
5.385893 1 326.6533 1
5.638877 1 328.6573 1
5.906135 1 330.6613 1
6.163938 1 332.6653 1
6.387004 1 334.6693 1
6.574692 1 336.6733 1
6.725826 1 338.6774 1
6.829857 1 340.6814 1
6.903824 1 342.6854 1
6.981077 1 344.6894 1
7.073671 1 346.6934 1
7.174141 1 348.6974 1
7.277502 1 350.7014 1
7.392332 1 352.7054 1
7.521761 1 354.7094 1
7.63868 1 356.7134 1
7.709393 1 358.7174 1
7.73812 1 360.7214 1
7.750913 1 362.7255 1
7.75742 1 364.7295 1
7.76728 1 366.7335 1
7.786896 1 368.7375 1
7.806844 1 370.7415 1
7.840228 1 372.7455 1
7.916988 1 374.7495 1
8.031486 1 376.7535 1
8.151558 1 378.7575 1
8.254392 1 380.7615 1
