PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp PO3_lat PO7_lat PO9_lat O1_lat O2_lat Oz_lat PO4_lat PO8_lat PO10_lat ROI_GA_lat emotion ID Trial
0.9171227 -5.212381 -13.35333 -0.8592134 29.67188 18.51254 28.34962 15.13381 13.09688 9.584103 124.2485 108.2164 124.2485 124.2485 116.2325 108.2164 124.2485 112.2244 110.2204 116.9005 1 1 4
-0.4131268 -3.658634 -9.974018 7.66841 38.07259 31.10909 30.41488 26.0189 11.28451 14.50251 108.2164 108.2164 108.2164 108.2164 124.2485 108.2164 124.2485 124.2485 124.2485 115.3418 1 1 6
14.15596 -18.20323 -11.63868 -1.269715 30.37563 10.09042 24.3497 10.25686 11.47961 7.73295 124.2485 108.2164 108.2164 124.2485 124.2485 124.2485 124.2485 124.2485 118.2365 120.0178 1 1 11
14.40489 9.163152 14.00422 39.3145 23.75928 44.27912 16.51513 31.89214 -7.151546 20.68676 124.2485 124.2485 122.2445 124.2485 108.2164 124.2485 108.2164 108.2164 108.2164 116.9005 1 1 14
25.53457 -1.059413 22.53276 9.651496 -13.37626 -8.826127 -1.915212 -21.91331 -14.0894 -0.3845434 116.2325 124.2485 124.2485 108.2164 108.2164 108.2164 108.2164 108.2164 108.2164 112.6698 1 1 16
36.27164 -8.38781 19.0321 31.0949 11.83331 20.55771 14.2155 -17.53207 5.894282 12.55329 124.2485 108.2164 124.2485 112.2244 124.2485 108.2164 124.2485 108.2164 124.2485 117.5685 1 1 19
-5.155948 -0.2277502 -8.126523 -10.72662 32.61287 1.082686 20.01165 5.551734 25.95496 6.775229 124.2485 118.2365 124.2485 124.2485 110.2204 124.2485 110.2204 114.2285 108.2164 117.5685 1 1 22
22.86133 9.219611 22.50145 16.83851 13.52575 -8.147495 20.63665 2.126853 12.92145 12.49823 124.2485 114.2285 124.2485 124.2485 124.2485 108.2164 124.2485 112.2244 124.2485 120.0178 1 1 27
-0.1071656 -6.259895 -8.535959 -6.023229 30.06677 13.31581 24.06501 15.95148 14.35035 8.535908 116.2325 124.2485 124.2485 114.2285 124.2485 116.2325 124.2485 124.2485 124.2485 121.3538 1 1 31
-3.063487 -2.742636 -8.704417 -3.837839 -10.18194 -4.213106 0.1920702 -14.05032 -13.48997 -6.676849 124.2485 124.2485 124.2485 124.2485 124.2485 124.2485 110.2204 120.2405 124.2485 122.2445 1 1 35
0.7293305 -2.442444 -1.43801 -3.221667 41.65005 4.355257 28.23228 21.13188 15.50642 11.61145 122.2445 124.2485 124.2485 124.2485 108.2164 108.2164 108.2164 108.2164 108.2164 115.1191 1 1 37
10.45502 16.42666 1.771849 19.79383 2.999315 17.55859 7.524101 15.14765 -4.731474 9.660614 114.2285 108.2164 108.2164 108.2164 112.2244 108.2164 124.2485 112.2244 124.2485 113.3378 1 1 40
-9.817274 -14.13134 -18.69357 -20.61295 -6.697434 -5.084791 -3.446941 -2.567046 -10.87721 -10.21428 124.2485 108.2164 124.2485 124.2485 108.2164 108.2164 124.2485 108.2164 124.2485 117.1231 1 1 45
