PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
20.04353 -9.059201 -1.492112 9.960572 42.58572 11.96101 59.17323 14.47722 19.23626 18.54292 1 1 4
8.252843 -7.982007 -7.208248 14.20636 28.99064 19.863 30.67205 15.08169 -1.04717 11.20324 1 1 6
33.73745 -1.845338 9.623197 19.38862 54.53564 25.44638 42.43399 12.49514 21.7575 24.17473 1 1 11
47.42812 14.94721 15.97778 40.85063 52.27316 56.0164 59.95142 44.07155 9.358723 37.875 1 1 14
25.68207 -9.336887 14.81348 -7.45842 -14.49161 -4.083722 15.98949 -22.24405 -6.556346 -0.853999 1 1 16
57.08873 1.876549 39.45 40.44864 45.47766 32.19432 64.21409 7.470999 37.41554 36.18184 1 1 19
8.850513 2.756926 3.943601 -4.401782 23.20196 -10.92277 19.13078 -12.23053 18.85231 5.464557 1 1 22
59.7532 -3.100988 44.44077 38.39841 59.13887 17.33073 80.66296 19.77533 36.64799 39.22748 1 1 27
5.742283 -2.00743 4.100663 4.103153 2.666894 -12.92087 17.32095 -9.819603 2.838303 1.336037 1 1 31
25.43693 -3.044881 6.486296 13.89481 10.05148 -1.533535 17.49883 1.271685 -10.32988 6.636859 1 1 35
25.12368 -9.302038 8.024991 8.015859 46.38931 8.140475 38.84822 24.0037 17.31361 18.50642 1 1 37
1.898412 12.64301 1.999912 7.298959 -12.1375 9.087475 4.277889 9.862088 -12.53386 2.488488 1 1 40
14.39476 -16.81874 -15.89944 -5.738519 1.029202 3.257339 32.09457 -0.4649018 6.13994 1.999356 1 1 45
9.094501 -4.115779 0.16792 10.49943 1.182357 14.39516 -2.375981 3.746488 2.717968 3.923562 1 1 49
20.68969 2.686835 26.22567 21.18864 30.31503 8.049545 31.74736 16.02162 0.1904752 17.45721 1 1 53
19.2068 -3.808235 -10.50599 13.18947 32.63937 14.80674 32.38111 34.95955 23.2541 17.34699 1 1 54
18.68283 1.552933 12.34463 20.62515 20.35549 18.9563 29.74154 28.5515 18.57227 18.82029 1 1 58
13.88764 0.5767969 21.36755 2.281796 -6.703371 1.267538 -4.43093 -12.13297 -4.992983 1.235673 1 1 61
