Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
0.08724589 0.1341639 -0.205543 -0.1027016 -0.3356227 -0.453771 0.02893799 -0.2075323 -0.1664284 -0.304931 0.157037 -0.2702555 -0.2344749 -0.4556935 -0.3635219 -0.3888006 -0.4571593 0.04460219 -0.008434094 0.002632731 -0.332555 -0.1582529 -0.004435316 0.4703441 0.2563804 0.4816841 -0.3238016 -0.1729847 -0.02775327 0.3275877 0.5778617 0.2537951 0.4806923 -0.06555618 0.1219013 0.2100079 0.3278636 -0.02698821 -0.02928357 -0.1170517 -200.4008 1
0.124239 0.1765756 -0.199206 -0.1306192 -0.3411685 -0.4600185 -0.001176868 -0.2113843 -0.1793033 -0.3355123 0.1516937 -0.2758529 -0.2507369 -0.455099 -0.3731274 -0.3956081 -0.4837852 0.03651155 -0.00302046 -0.03283435 -0.3356094 -0.1474495 0.001419064 0.46649 0.2724443 0.4784457 -0.2994442 -0.1471958 -0.03087318 0.3436853 0.6167598 0.2343995 0.5016936 -0.04219682 0.1262582 0.2224632 0.3582928 -0.0279649 -0.02820872 -0.1199363 -198.3968 1
0.2286883 0.2579759 -0.1952677 -0.1518071 -0.3451633 -0.4687706 -0.03838659 -0.2047618 -0.1787415 -0.3541477 0.1419995 -0.267242 -0.2438955 -0.4541867 -0.3796292 -0.4002695 -0.5056509 0.03884095 -0.004833392 -0.05717701 -0.3313039 -0.1354706 -0.004734023 0.4658054 0.2796201 0.4728419 -0.2796952 -0.1269704 -0.04722036 0.3330123 0.6264043 0.2210366 0.4920164 -0.03567101 0.1296318 0.2296214 0.3655155 -0.03337539 -0.02630226 -0.138362 -196.3928 1
0.1857342 0.2765917 -0.1933619 -0.151415 -0.344122 -0.4725549 -0.06120047 -0.2006933 -0.1801416 -0.3480562 0.1484895 -0.2402687 -0.1994864 -0.4419409 -0.3735418 -0.3972419 -0.5197998 0.04306965 -0.02583023 -0.05632002 -0.323929 -0.1194195 -0.01835867 0.4836551 0.288861 0.4795088 -0.2664028 -0.1090218 -0.05175539 0.3163841 0.6331047 0.2094143 0.4940665 -0.03332081 0.133702 0.2334378 0.3781901 -0.04291736 -0.02717734 -0.1551732 -194.3888 1
0.1588189 0.3011577 -0.2064151 -0.1591908 -0.3408292 -0.4805756 -0.08574368 -0.1895109 -0.2081622 -0.3419954 0.1583787 -0.2075011 -0.1548971 -0.4351481 -0.3651436 -0.3902928 -0.5283813 0.05399448 -0.05474196 -0.05274373 -0.311563 -0.09821039 -0.03225441 0.5061803 0.3109792 0.483116 -0.2446002 -0.08904908 -0.05127115 0.303212 0.6180522 0.1929704 0.4873698 -0.03086471 0.1448097 0.2317977 0.3768333 -0.03473082 -0.01929922 -0.1470748 -192.3848 1
0.1379418 0.3269855 -0.2243317 -0.1814905 -0.3339153 -0.4823193 -0.1020389 -0.191863 -0.23137 -0.3455447 0.1642315 -0.1967577 -0.1173347 -0.4222258 -0.3544489 -0.3821644 -0.5381075 0.06261418 -0.08886519 -0.03890993 -0.2964649 -0.07488602 -0.04868302 0.5223032 0.3317496 0.4805027 -0.2210063 -0.06693605 -0.04388502 0.2917036 0.5928187 0.1833546 0.4789881 -0.02450524 0.1562931 0.2296014 0.3748565 -0.01308482 -0.01501605 -0.1232831 -190.3808 1
0.06904215 0.3401591 -0.2255908 -0.1989081 -0.3294785 -0.474793 -0.1079015 -0.2089818 -0.2129445 -0.3543279 0.1717947 -0.2045543 -0.08188616 -0.4112406 -0.3431416 -0.3785619 -0.5506976 0.06144005 -0.1204373 -0.0008038781 -0.2797719 -0.05485575 -0.06498315 0.5277243 0.3462617 0.4710643 -0.1963866 -0.03980156 -0.02325021 0.2785619 0.55836 0.1878365 0.4698443 -0.01191654 0.1735515 0.2287312 0.3707751 0.01351537 -0.00836667 -0.09875372 -188.3768 1
-0.01559733 0.3450951 -0.216296 -0.2013405 -0.3282093 -0.464623 -0.1085798 -0.2289522 -0.1551561 -0.3771581 0.1721321 -0.2093939 -0.05297538 -0.4042006 -0.3357205 -0.3749135 -0.561106 0.05567689 -0.1468168 0.05694924 -0.2606043 -0.04073588 -0.07710556 0.5281669 0.35007 0.4525684 -0.1710832 -0.0132377 0.00475089 0.2656283 0.5207337 0.2008864 0.4607658 0.001839295 0.1948547 0.224972 0.3628236 0.03772466 0.005473049 -0.07484726 -186.3727 1
-0.01299221 0.3658349 -0.2044453 -0.2040745 -0.3234294 -0.4615847 -0.1179316 -0.2461585 -0.08737592 -0.4254405 0.1481319 -0.2114143 -0.03047449 -0.4038499 -0.3359784 -0.3677927 -0.5633895 0.05216393 -0.1728937 0.119891 -0.2375806 -0.03039986 -0.0844284 0.5238016 0.3335348 0.4282623 -0.1447086 0.005578669 0.03331013 0.2528843 0.4894358 0.2069462 0.4386457 0.01373122 0.2171298 0.2221154 0.3592277 0.06375191 0.02547239 -0.04642525 -184.3687 1
-0.06470053 0.328768 -0.1978918 -0.2085228 -0.3098942 -0.4574402 -0.1252183 -0.2821362 -0.02588686 -0.4602058 0.1076863 -0.2348658 0.002929152 -0.3929532 -0.331723 -0.3513882 -0.5547334 0.0519443 -0.2128728 0.1798811 -0.21218 -0.01220454 -0.09257341 0.5319263 0.2863141 0.4197924 -0.1181305 0.02389712 0.07623187 0.2371229 0.4800133 0.1957623 0.4138787 0.03651681 0.2458647 0.2261497 0.3766011 0.0907873 0.0624645 -0.003785687 -182.3647 1
