Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
0.1579167 0.05996554 0.0529235 0.06085115 0.01185218 -0.04180903 0.0885855 0.03856525 -0.1410941 -0.07867342 -0.06318326 -0.1309354 -0.2968001 -0.01883761 0.02590589 0.09229743 -0.1081743 0.001942378 0.1952296 -0.1792662 -0.1390522 -0.08793116 0.09129459 0.06177267 0.2406684 0.02100993 -0.3435322 -0.07435673 -0.180379 0.3461443 0.1062668 0.1572683 0.1103286 -0.1458802 -0.1932777 0.1159576 0.02942916 -0.08461203 -0.244379 -0.119474 -200.4008 1
0.1789246 0.09300736 0.05777874 0.03738944 -0.01200967 -0.06951402 0.07613195 0.03215059 -0.1603025 -0.1200773 -0.06228324 -0.1346485 -0.3151361 -0.02944105 -0.005830325 0.07933851 -0.1403033 -0.007356823 0.1834546 -0.211271 -0.1523256 -0.07982904 0.07837422 0.06033709 0.2512638 0.02741929 -0.319276 -0.06392873 -0.1636403 0.3506851 0.1490911 0.1596879 0.1370173 -0.131821 -0.1783569 0.116909 0.07711986 -0.09049784 -0.2247451 -0.1160323 -198.3968 1
0.2486673 0.154901 0.05287588 0.01753058 -0.03452346 -0.09946436 0.05257361 0.0291463 -0.1682826 -0.1545153 -0.06455345 -0.1269006 -0.3081276 -0.04270494 -0.03443831 0.06698813 -0.1667739 -0.004500247 0.1660223 -0.23146 -0.1599553 -0.06874267 0.06214112 0.06648209 0.2584086 0.03253484 -0.2975838 -0.0572308 -0.1571937 0.3356775 0.1702999 0.1536745 0.1394936 -0.129471 -0.162008 0.1159681 0.1073772 -0.09810152 -0.2006032 -0.121116 -196.3928 1
0.2034241 0.164797 0.04073997 0.01866684 -0.0497833 -0.1199024 0.0391606 0.02328547 -0.1775713 -0.1683608 -0.06487218 -0.1077609 -0.2698581 -0.04637389 -0.04847152 0.05722493 -0.1848588 -0.0007750171 0.1403075 -0.2310472 -0.161967 -0.05384506 0.0451357 0.08798078 0.2643076 0.04773491 -0.2824543 -0.04666312 -0.1460862 0.3190928 0.1912931 0.1457771 0.1431865 -0.1238058 -0.1491682 0.1175688 0.1402922 -0.1072272 -0.1811447 -0.122931 -194.3888 1
0.2019809 0.1858984 0.01851792 0.008073536 -0.06358221 -0.1389202 0.01889025 0.01582421 -0.2100135 -0.1721671 -0.06793504 -0.08884088 -0.233537 -0.05691146 -0.05405303 0.04662544 -0.1972072 0.01146425 0.1196162 -0.2218425 -0.1565839 -0.03509149 0.02866868 0.115464 0.2704857 0.06697147 -0.2652501 -0.0352863 -0.1367822 0.3022695 0.1968256 0.1326249 0.1335581 -0.118629 -0.1323748 0.1167119 0.1562598 -0.1035939 -0.1609553 -0.1115853 -192.3848 1
0.2153108 0.2019594 -0.00759047 -0.0215814 -0.0740184 -0.1490674 -0.0007717463 -0.003848946 -0.2436037 -0.1641352 -0.06439947 -0.08195338 -0.1997818 -0.0628203 -0.05061945 0.03702228 -0.2086286 0.02784838 0.1027245 -0.1978598 -0.1468969 -0.01561814 0.009336797 0.13962 0.2713024 0.08842711 -0.2501116 -0.02423236 -0.1324813 0.2818713 0.1987418 0.1214234 0.1299939 -0.1113202 -0.12611 0.1157522 0.1661357 -0.09149755 -0.1557734 -0.09399763 -190.3808 1
0.1862022 0.2034736 -0.02818254 -0.05749245 -0.0841905 -0.1546135 -0.014222 -0.03360214 -0.2542154 -0.1517593 -0.05123119 -0.08211682 -0.1650678 -0.06736051 -0.0411221 0.02627357 -0.2195525 0.04141396 0.08968528 -0.1554971 -0.1332267 0.002941431 -0.007282087 0.1554016 0.2699604 0.1034104 -0.230806 -0.007788193 -0.1262281 0.2571288 0.194054 0.1189073 0.1356658 -0.09647644 -0.1250775 0.1192492 0.1685196 -0.074093 -0.15494 -0.07290198 -188.3768 1
0.1343947 0.2021354 -0.04384143 -0.08930953 -0.09468898 -0.1615551 -0.02272856 -0.06480678 -0.237359 -0.1534027 -0.04012332 -0.08217588 -0.1386431 -0.06683496 -0.03195298 0.01845513 -0.2283496 0.05432385 0.07385612 -0.104684 -0.1164724 0.02259729 -0.01940567 0.167932 0.2616357 0.1154043 -0.2074989 0.007760895 -0.1155569 0.2300575 0.1875977 0.1216955 0.147058 -0.08042427 -0.1209961 0.1233459 0.1652786 -0.05758345 -0.1468163 -0.04781943 -186.3727 1
0.1719532 0.2263809 -0.0511897 -0.1176681 -0.1048092 -0.1716605 -0.03729109 -0.0859743 -0.2065814 -0.1800873 -0.03261388 -0.08839808 -0.1236774 -0.07113497 -0.03110145 0.01328212 -0.2349807 0.0683709 0.05101729 -0.05543854 -0.1019813 0.03816427 -0.03344161 0.1796318 0.2377921 0.1235655 -0.1866266 0.009098679 -0.1016705 0.2005346 0.1878744 0.113764 0.152868 -0.07461587 -0.1111255 0.1217637 0.1671185 -0.04420527 -0.1330732 -0.02621296 -184.3687 1
0.1442404 0.2052842 -0.0520808 -0.1325586 -0.1077703 -0.1682406 -0.04503722 -0.108505 -0.1696424 -0.1975337 -0.01624745 -0.1041911 -0.1041647 -0.07241681 -0.02528219 0.01487796 -0.2382259 0.08171204 0.02057871 -0.01205742 -0.09299759 0.05419135 -0.05082101 0.2057161 0.194976 0.1432496 -0.1718241 0.004103987 -0.07025716 0.1731525 0.2049892 0.08950259 0.1582437 -0.06660729 -0.09216745 0.1172133 0.1878799 -0.0369476 -0.1079924 -0.00682489 -182.3647 1
