Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time
4.619308 4.58872 1.898855 1.250122 -2.973764 -1.524692 0.4876616 0.6974965 -2.063958 -1.433242 -0.01386859 -0.8165883 -1.460857 -4.495992 -4.010333 -4.316769 -2.120837 -1.701854 0.5738596 -0.4158326 -2.121461 -3.176701 -0.526101 1.685763 2.10601 2.661638 -2.690866 -2.134625 -0.946573 1.809495 2.533956 4.533325 3.955329 -1.360321 -0.1103947 1.345904 1.331195 -1.482644 -1.455372 -2.759821 -200.4008
4.216022 4.838869 2.012913 1.240929 -2.932726 -1.418144 0.5079157 0.7687215 -2.36752 -1.45506 -0.2518569 -0.6386472 -1.609667 -4.597489 -4.027231 -4.51701 -2.16717 -1.875327 0.5021924 -0.6246114 -2.256303 -3.205046 -0.4752663 1.713463 2.123383 2.662964 -2.583463 -2.002644 -0.8560147 2.134542 2.713013 4.61469 3.98273 -1.236755 -0.07279819 1.635319 1.462342 -1.354924 -1.442757 -2.703559 -198.3968
3.891625 5.027236 2.03015 1.142154 -2.857549 -1.332209 0.4916953 0.8003655 -2.588027 -1.435144 -0.42233 -0.3780925 -1.721437 -4.58405 -3.980695 -4.683733 -2.140585 -2.002268 0.4184037 -0.9965817 -2.299773 -3.171318 -0.4584845 1.715066 2.143415 2.622666 -2.441027 -1.826329 -0.7642432 2.409884 2.81923 4.660823 3.955225 -1.108162 -0.03846636 1.907165 1.587956 -1.268021 -1.408954 -2.68111 -196.3928
3.343399 5.016214 1.967985 0.9868487 -2.770465 -1.26205 0.4391149 0.7609137 -2.728452 -1.365514 -0.4928814 -0.122953 -1.797119 -4.475758 -3.889512 -4.791519 -2.06412 -2.099936 0.3773549 -1.372499 -2.286163 -3.090097 -0.4612722 1.719552 2.183722 2.60358 -2.311224 -1.635727 -0.6870204 2.683969 2.919352 4.65478 3.977194 -0.9697314 -0.06551581 2.125153 1.73436 -1.192282 -1.402035 -2.601389 -194.3888
2.967116 5.101375 1.799085 0.7629435 -2.749341 -1.243066 0.301995 0.6865516 -2.941948 -1.319764 -0.5158194 -0.001252178 -1.906152 -4.411603 -3.813211 -4.878577 -2.014167 -2.190885 0.3482809 -1.68491 -2.250244 -2.977568 -0.5158113 1.740278 2.246083 2.583259 -2.170818 -1.414083 -0.6611649 2.939528 2.965847 4.615192 3.985304 -0.8060395 -0.07786825 2.278742 1.807644 -0.9972883 -1.286736 -2.326895 -192.3848
3.063725 5.434071 1.589001 0.4964897 -2.839645 -1.281662 0.104291 0.5609575 -3.118101 -1.303094 -0.4590505 -0.1266314 -1.991979 -4.385792 -3.796937 -4.986222 -2.059574 -2.294813 0.2450466 -1.846123 -2.242117 -2.885728 -0.6380703 1.757561 2.289793 2.558228 -2.067659 -1.229583 -0.6659743 3.091673 3.003537 4.537954 3.992312 -0.687822 -0.07120025 2.344079 1.86082 -0.7826222 -1.155045 -2.033922 -190.3808
3.028871 5.646274 1.435627 0.2646154 -3.013731 -1.329097 -0.1186425 0.3821415 -3.073843 -1.291719 -0.3115782 -0.3455641 -1.978032 -4.419662 -3.813088 -5.145938 -2.183683 -2.421189 0.1207889 -1.830688 -2.24585 -2.811159 -0.7433041 1.756947 2.355771 2.626471 -1.984367 -1.059799 -0.6194374 3.14072 2.990814 4.47255 3.992454 -0.5894182 0.02849668 2.37839 1.921148 -0.6281846 -1.012746 -1.853033 -188.3768
2.854027 5.632098 1.243281 0.08148575 -3.183229 -1.384337 -0.3831914 0.1799981 -2.850433 -1.332872 -0.1777117 -0.5283515 -1.923818 -4.432182 -3.844277 -5.308465 -2.325343 -2.544979 0.05578668 -1.736474 -2.217789 -2.742639 -0.7441583 1.720314 2.46702 2.585505 -1.884596 -0.8830902 -0.5595825 3.159668 2.921757 4.487712 4.013613 -0.4816669 0.1131412 2.412988 1.982821 -0.4846255 -0.9089497 -1.704791 -186.3727
2.75097 5.424598 0.9844159 -0.1440842 -3.309496 -1.507069 -0.651295 -0.002402321 -2.59884 -1.463209 -0.1563744 -0.6306899 -1.857264 -4.452942 -3.898225 -5.464784 -2.428289 -2.643038 0.08676004 -1.616577 -2.150691 -2.650321 -0.6208882 1.615112 2.593377 2.477005 -1.75473 -0.6983669 -0.471263 3.212654 2.843895 4.602555 3.970603 -0.3283829 0.214897 2.481831 2.042023 -0.3133473 -0.8040848 -1.514283 -184.3687
2.416298 4.880214 0.6301345 -0.4397023 -3.35484 -1.696598 -0.907624 -0.2767197 -2.373887 -1.583431 -0.3215043 -0.7884936 -1.741165 -4.384118 -3.887474 -5.544496 -2.449215 -2.700091 0.09948979 -1.459402 -2.018751 -2.482551 -0.4529872 1.538901 2.580698 2.396587 -1.60419 -0.5165762 -0.2907646 3.274936 2.896271 4.737515 3.874802 -0.1262211 0.3989282 2.58206 2.178985 -0.08530036 -0.6034836 -1.220887 -182.3647
2.303437 4.285078 0.243658 -0.7835721 -3.397377 -1.962571 -1.187318 -0.6205315 -2.146678 -1.659409 -0.610998 -1.091007 -1.670587 -4.251507 -3.874978 -5.576397 -2.444299 -2.672692 0.08832974 -1.296527 -1.866839 -2.260385 -0.3104242 1.572399 2.434259 2.424793 -1.440757 -0.4063122 -0.02828075 3.274892 3.048395 4.819502 3.699878 0.03454835 0.6978261 2.664056 2.326227 0.1276739 -0.3186302 -0.9707503 -180.3607
2.475872 3.70514 -0.1492973 -1.214128 -3.376143 -2.268257 -1.526201 -0.9454963 -2.048368 -1.727229 -0.8009889 -1.424687 -1.723199 -4.091506 -3.817973 -5.516616 -2.370777 -2.539326 0.02985594 -1.165158 -1.667318 -2.001777 -0.241686 1.764167 2.203617 2.560207 -1.283581 -0.379351 0.2543578 3.209243 3.302543 4.857934 3.602066 0.1199719 0.9497426 2.686146 2.504825 0.2970517 -0.119048 -0.8261023 -178.3567
1.911572 2.878604 -0.4410674 -1.512611 -3.316423 -2.502203 -1.701427 -1.165929 -2.082496 -1.78264 -0.7763467 -1.559277 -1.781134 -3.875858 -3.688157 -5.415892 -2.261726 -2.446578 -0.08023275 -1.032143 -1.506 -1.764774 -0.2209025 2.04762 2.009369 2.745573 -1.163504 -0.3716366 0.6014786 3.132377 3.497648 4.934859 3.568854 0.2226369 1.231666 2.680256 2.613332 0.3704616 0.1354075 -0.7269892 -176.3527
1.608823 2.381165 -0.6147102 -1.656961 -3.237635 -2.6472 -1.805561 -1.237066 -2.252743 -1.892807 -0.7710872 -1.493778 -1.839643 -3.678634 -3.546568 -5.307498 -2.147536 -2.435348 -0.2213605 -0.9279886 -1.425505 -1.602821 -0.22896 2.250265 1.875597 2.904953 -1.104942 -0.4152919 0.8612016 3.019074 3.602011 5.004634 3.542235 0.2489937 1.438667 2.652797 2.651544 0.4149074 0.3328405 -0.6710253 -174.3487
1.314749 2.042441 -0.7077307 -1.694323 -3.175971 -2.693843 -1.800996 -1.236838 -2.47209 -1.950205 -0.9040709 -1.242986 -1.905075 -3.595568 -3.404414 -5.246697 -2.023848 -2.492857 -0.3429216 -0.8195267 -1.394651 -1.527879 -0.2529409 2.333367 1.819825 2.842617 -1.048034 -0.4268606 1.043385 2.899477 3.583684 5.072461 3.456331 0.2975603 1.638935 2.676158 2.592167 0.4756512 0.5211892 -0.6296596 -172.3447
0.7635819 1.645399 -0.7706746 -1.772732 -3.068346 -2.694596 -1.780222 -1.226883 -2.669405 -1.943164 -1.18517 -0.9075236 -2.057021 -3.437385 -3.237383 -5.168626 -1.930263 -2.548104 -0.3792842 -0.8243735 -1.339122 -1.457635 -0.2872166 2.346607 1.766215 2.771103 -1.016829 -0.3822514 1.24445 2.801533 3.618739 5.130912 3.473272 0.4111541 1.769531 2.793949 2.582013 0.5463145 0.5955922 -0.6231968 -170.3407
0.3007197 1.374234 -0.8313012 -1.959391 -2.947851 -2.731506 -1.851098 -1.306527 -2.926985 -1.930775 -1.56424 -0.6405107 -2.351001 -3.253719 -3.04978 -5.068187 -1.874252 -2.560489 -0.3353384 -1.072286 -1.246544 -1.346479 -0.3407122 2.345033 1.651365 2.771123 -0.9736236 -0.3324609 1.480274 2.712667 3.634835 5.184643 3.575607 0.5605304 1.974174 2.995627 2.572562 0.6600769 0.7368782 -0.5980576 -168.3367
0.0811374 1.382178 -0.7972703 -2.093883 -2.817579 -2.72522 -1.935299 -1.344726 -3.239837 -1.953219 -1.893329 -0.4822095 -2.642118 -3.139221 -2.86095 -4.921696 -1.868563 -2.500554 -0.3283177 -1.439849 -1.171238 -1.219329 -0.4257901 2.343558 1.486704 2.666552 -0.9392264 -0.3355919 1.621613 2.567864 3.649318 5.188322 3.789826 0.6537411 2.078212 3.107995 2.641987 0.7683168 0.8560746 -0.5542951 -166.3327
