CP5 CP6 TP7 TP8 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time
-0.526101 1.685763 2.10601 2.661638 1.809495 2.533956 4.533325 3.955329 -1.360321 -0.1103947 1.345904 1.331195 -1.482644 -1.455372 -2.759821 -200.4008
-0.4752663 1.713463 2.123383 2.662964 2.134542 2.713013 4.61469 3.98273 -1.236755 -0.07279819 1.635319 1.462342 -1.354924 -1.442757 -2.703559 -198.3968
-0.4584845 1.715066 2.143415 2.622666 2.409884 2.81923 4.660823 3.955225 -1.108162 -0.03846636 1.907165 1.587956 -1.268021 -1.408954 -2.68111 -196.3928
-0.4612722 1.719552 2.183722 2.60358 2.683969 2.919352 4.65478 3.977194 -0.9697314 -0.06551581 2.125153 1.73436 -1.192282 -1.402035 -2.601389 -194.3888
-0.5158113 1.740278 2.246083 2.583259 2.939528 2.965847 4.615192 3.985304 -0.8060395 -0.07786825 2.278742 1.807644 -0.9972883 -1.286736 -2.326895 -192.3848
-0.6380703 1.757561 2.289793 2.558228 3.091673 3.003537 4.537954 3.992312 -0.687822 -0.07120025 2.344079 1.86082 -0.7826222 -1.155045 -2.033922 -190.3808
-0.7433041 1.756947 2.355771 2.626471 3.14072 2.990814 4.47255 3.992454 -0.5894182 0.02849668 2.37839 1.921148 -0.6281846 -1.012746 -1.853033 -188.3768
-0.7441583 1.720314 2.46702 2.585505 3.159668 2.921757 4.487712 4.013613 -0.4816669 0.1131412 2.412988 1.982821 -0.4846255 -0.9089497 -1.704791 -186.3727
-0.6208882 1.615112 2.593377 2.477005 3.212654 2.843895 4.602555 3.970603 -0.3283829 0.214897 2.481831 2.042023 -0.3133473 -0.8040848 -1.514283 -184.3687
-0.4529872 1.538901 2.580698 2.396587 3.274936 2.896271 4.737515 3.874802 -0.1262211 0.3989282 2.58206 2.178985 -0.08530036 -0.6034836 -1.220887 -182.3647
-0.3104242 1.572399 2.434259 2.424793 3.274892 3.048395 4.819502 3.699878 0.03454835 0.6978261 2.664056 2.326227 0.1276739 -0.3186302 -0.9707503 -180.3607
-0.241686 1.764167 2.203617 2.560207 3.209243 3.302543 4.857934 3.602066 0.1199719 0.9497426 2.686146 2.504825 0.2970517 -0.119048 -0.8261023 -178.3567
-0.2209025 2.04762 2.009369 2.745573 3.132377 3.497648 4.934859 3.568854 0.2226369 1.231666 2.680256 2.613332 0.3704616 0.1354075 -0.7269892 -176.3527
-0.22896 2.250265 1.875597 2.904953 3.019074 3.602011 5.004634 3.542235 0.2489937 1.438667 2.652797 2.651544 0.4149074 0.3328405 -0.6710253 -174.3487
-0.2529409 2.333367 1.819825 2.842617 2.899477 3.583684 5.072461 3.456331 0.2975603 1.638935 2.676158 2.592167 0.4756512 0.5211892 -0.6296596 -172.3447
-0.2872166 2.346607 1.766215 2.771103 2.801533 3.618739 5.130912 3.473272 0.4111541 1.769531 2.793949 2.582013 0.5463145 0.5955922 -0.6231968 -170.3407
-0.3407122 2.345033 1.651365 2.771123 2.712667 3.634835 5.184643 3.575607 0.5605304 1.974174 2.995627 2.572562 0.6600769 0.7368782 -0.5980576 -168.3367
-0.4257901 2.343558 1.486704 2.666552 2.567864 3.649318 5.188322 3.789826 0.6537411 2.078212 3.107995 2.641987 0.7683168 0.8560746 -0.5542951 -166.3327
-0.5080588 2.350699 1.375292 2.517024 2.415952 3.608577 5.10263 3.95786 0.6829112 2.061895 3.087607 2.759151 0.786759 0.9102774 -0.5263011 -164.3287
-0.5743994 2.339304 1.304973 2.458459 2.293707 3.486151 4.89213 3.995871 0.6276554 1.942236 2.918369 2.831189 0.6950513 0.8819559 -0.5986502 -162.3246
-0.5679184 2.347485 1.331397 2.412493 2.223535 3.28926 4.578271 3.907994 0.4966656 1.794707 2.695333 2.766224 0.5452376 0.8338139 -0.7737677 -160.3206
-0.5258021 2.354567 1.458117 2.374012 2.161409 3.161619 4.218245 3.829884 0.227608 1.539662 2.401098 2.692496 0.3538371 0.6442085 -1.027433 -158.3166
-0.4285869 2.375322 1.642257 2.495383 2.129877 2.987545 3.959625 3.701919 0.003762567 1.387854 2.104193 2.547208 0.1497346 0.4831985 -1.226212 -156.3126
-0.3165952 2.375465 1.787159 2.461524 2.081661 2.768892 3.783988 3.56518 -0.2259022 1.240838 1.806572 2.349652 -0.0402964 0.2496423 -1.428555 -154.3086
-0.2170886 2.378568 1.890196 2.533465 1.997492 2.547889 3.63522 3.502777 -0.4431555 1.019063 1.512846 2.115278 -0.1422806 0.004014072 -1.604651 -152.3046
-0.08410919 2.41401 2.12921 2.512165 1.945344 2.394215 3.548884 3.599213 -0.5955762 0.8076245 1.277315 1.942965 -0.230814 -0.1914068 -1.733102 -150.3006
0.09883464 2.449859 2.504057 2.620083 1.958357 2.207306 3.456864 3.66904 -0.7556241 0.5392144 1.10886 1.734625 -0.3110947 -0.3753904 -1.835282 -148.2966
0.319312 2.440976 2.944715 2.587382 2.002631 1.956941 3.373759 3.588514 -0.8448338 0.2309669 0.9880735 1.478307 -0.3898299 -0.5840465 -1.903586 -146.2926
0.5198779 2.363498 3.31332 2.539557 2.055177 1.644402 3.283304 3.318177 -0.9270748 -0.1041355 0.9014689 1.187648 -0.4431517 -0.8114403 -1.95799 -144.2886
0.6702752 2.28703 3.584363 2.370498 2.098801 1.317914 3.153036 2.977778 -0.9661265 -0.3959212 0.7949215 0.9272498 -0.4772968 -0.966439 -1.953715 -142.2846
