amplitude ID time cond
-0.2397316 1 -200.4008 1
-0.2044338 1 -198.3968 1
-0.1880794 1 -196.3928 1
-0.1770598 1 -194.3888 1
-0.1590288 1 -192.3848 1
-0.1383038 1 -190.3808 1
-0.1270084 1 -188.3768 1
-0.1304851 1 -186.3727 1
-0.1497307 1 -184.3687 1
-0.1776225 1 -182.3647 1
-0.1978098 1 -180.3607 1
-0.1965032 1 -178.3567 1
-0.173998 1 -176.3527 1
-0.1494428 1 -174.3487 1
-0.1357335 1 -172.3447 1
-0.1192709 1 -170.3407 1
-0.08531632 1 -168.3367 1
-0.03013238 1 -166.3327 1
0.04333578 1 -164.3287 1
0.1188228 1 -162.3246 1
0.1783812 1 -160.3206 1
0.2210124 1 -158.3166 1
0.2613197 1 -156.3126 1
0.3154628 1 -154.3086 1
0.3878155 1 -152.3046 1
0.4736429 1 -150.3006 1
0.5590649 1 -148.2966 1
0.6384943 1 -146.2926 1
0.7236137 1 -144.2886 1
0.7993179 1 -142.2846 1
0.8397553 1 -140.2806 1
0.8534388 1 -138.2766 1
0.8553678 1 -136.2726 1
0.8307403 1 -134.2685 1
0.7637829 1 -132.2645 1
0.6754234 1 -130.2605 1
0.6015491 1 -128.2565 1
0.5458372 1 -126.2525 1
0.4848835 1 -124.2485 1
0.4266684 1 -122.2445 1
0.4159718 1 -120.2405 1
0.4747585 1 -118.2365 1
0.5687322 1 -116.2325 1
0.6303955 1 -114.2285 1
0.6219812 1 -112.2244 1
0.5500874 1 -110.2204 1
0.442558 1 -108.2164 1
0.3328281 1 -106.2124 1
0.2230908 1 -104.2084 1
0.09991506 1 -102.2044 1
-0.02478796 1 -100.2004 1
-0.1371669 1 -98.1964 1
-0.2391217 1 -96.19238 1
-0.3312097 1 -94.18838 1
-0.4100543 1 -92.18437 1
-0.4742542 1 -90.18036 1
-0.5178517 1 -88.17635 1
-0.5226799 1 -86.17235 1
-0.4924413 1 -84.16833 1
-0.4665691 1 -82.16433 1
-0.4644382 1 -80.16032 1
-0.4712689 1 -78.15631 1
-0.4827277 1 -76.15231 1
-0.5116338 1 -74.1483 1
-0.5596113 1 -72.14429 1
-0.6071672 1 -70.14028 1
-0.6367396 1 -68.13628 1
-0.6636298 1 -66.13226 1
-0.7138254 1 -64.12826 1
-0.7869592 1 -62.12425 1
-0.8633957 1 -60.12024 1
-0.927799 1 -58.11623 1
-0.984955 1 -56.11222 1
-1.043168 1 -54.10822 1
-1.099566 1 -52.10421 1
-1.150059 1 -50.1002 1
-1.191192 1 -48.09619 1
-1.217719 1 -46.09219 1
-1.225249 1 -44.08818 1
-1.210098 1 -42.08417 1
-1.157346 1 -40.08016 1
-1.057898 1 -38.07615 1
-0.9254177 1 -36.07214 1
-0.7668099 1 -34.06814 1
-0.5789692 1 -32.06413 1
-0.3662364 1 -30.06012 1
-0.1407847 1 -28.05611 1
0.08080577 1 -26.0521 1
0.2864336 1 -24.0481 1
0.4788544 1 -22.04409 1
0.6580452 1 -20.04008 1
0.8104892 1 -18.03607 1
0.9387038 1 -16.03206 1
1.049201 1 -14.02806 1
1.140078 1 -12.02405 1
1.222629 1 -10.02004 1
1.303251 1 -8.016032 1
1.375335 1 -6.012024 1
1.432446 1 -4.008016 1
