P8_amp TP8_amp CP6_amp ROI_GA_amp P8_lat TP8_lat CP6_lat ROI_GA_lat emotion ID Trial hem
-15.25383 5.178054 -1.949363 -4.008379 218.4369 222.4449 218.4369 219.7729 1 1 4 2
0.8860686 -5.322305 5.404515 0.3227596 206.4128 206.4128 214.4289 209.0848 1 1 6 2
-6.380913 2.403244 -12.85848 -5.612051 222.4449 222.4449 222.4449 222.4449 1 1 11 2
4.103165 -18.52631 13.2412 -0.3939816 206.4128 222.4449 206.4128 211.7569 1 1 14 2
-2.801471 -2.5773 -16.91137 -7.430048 222.4449 206.4128 222.4449 217.1009 1 1 16 2
0.8192327 3.970193 4.792116 3.193847 222.4449 206.4128 222.4449 217.1009 1 1 19 2
-3.86213 17.34395 -3.869554 3.204088 220.4409 206.4128 218.4369 215.0969 1 1 22 2
-9.857364 1.563958 -8.933903 -5.742436 222.4449 222.4449 222.4449 222.4449 1 1 27 2
-4.227674 17.6389 12.22177 8.544332 206.4128 206.4128 222.4449 211.7569 1 1 31 2
3.886781 -1.952741 10.01665 3.983563 222.4449 222.4449 222.4449 222.4449 1 1 35 2
5.047425 22.31457 5.717564 11.02652 206.4128 206.4128 222.4449 211.7569 1 1 37 2
-12.76063 -35.786 -12.95523 -20.50062 206.4128 212.4249 206.4128 208.4168 1 1 40 2
-34.23281 -33.4052 -19.45301 -29.03034 220.4409 222.4449 222.4449 221.7769 1 1 45 2
1.19365 2.785451 2.703752 2.227618 222.4449 222.4449 214.4289 219.7729 1 1 49 2
8.665411 -11.6423 3.156177 0.05976415 222.4449 220.4409 216.4329 219.7729 1 1 53 2
3.728222 -1.153707 10.57357 4.382696 206.4128 222.4449 222.4449 217.1009 1 1 54 2
-4.440342 -8.634611 -15.17717 -9.417375 222.4449 222.4449 222.4449 222.4449 1 1 58 2
8.563991 -13.39222 2.696732 -0.7104996 222.4449 206.4128 222.4449 217.1009 1 1 61 2
9.57291 3.60785 -3.380607 3.266718 206.4128 206.4128 206.4128 206.4128 1 1 66 2
5.352038 9.266407 -13.28127 0.4457245 222.4449 206.4128 222.4449 217.1009 1 1 68 2
-8.035984 7.775141 -7.691674 -2.650839 206.4128 222.4449 218.4369 215.7649 1 1 71 2
-5.160739 11.50624 -10.72961 -1.461371 222.4449 210.4208 206.4128 213.0928 1 1 74 2
-0.3721257 -3.25724 12.12079 2.830476 222.4449 206.4128 222.4449 217.1009 1 1 76 2
-20.32397 -10.97258 -7.300429 -12.86566 216.4329 212.4249 214.4289 214.4289 1 1 80 2
-6.779761 -8.381219 14.51972 -0.2137531 206.4128 210.4208 206.4128 207.7488 1 1 84 2
-6.498814 -3.304577 -25.6642 -11.82253 222.4449 222.4449 222.4449 222.4449 1 1 85 2
15.18097 16.55148 14.22219 15.31821 222.4449 206.4128 222.4449 217.1009 1 1 87 2
21.25497 16.60305 -4.156291 11.23391 222.4449 222.4449 222.4449 222.4449 1 1 92 2
-9.264487 -9.433834 10.60182 -2.698833 206.4128 222.4449 206.4128 211.7569 1 1 94 2
-15.6002 -5.111233 -6.986086 -9.232507 222.4449 222.4449 222.4449 222.4449 1 1 96 2
13.31263 -5.078481 17.57773 8.603961 206.4128 206.4128 206.4128 206.4128 1 1 101 2
-9.462384 -9.229781 5.455489 -4.412226 214.4289 216.4329 214.4289 215.0969 1 1 105 2
-9.669497 0.2267779 -0.4755607 -3.306093 216.4329 222.4449 212.4249 217.1009 1 1 107 2
-25.03674 -11.4233 -25.51695 -20.659 212.4249 222.4449 222.4449 219.1049 1 1 112 2
10.01841 23.69205 10.5262 14.74555 218.4369 222.4449 220.4409 220.4409 1 1 113 2
-16.24574 -5.154205 -30.07948 -17.15981 206.4128 206.4128 214.4289 209.0848 1 1 118 2
-11.17567 -13.47312 -19.91276 -14.85385 210.4208 208.4168 216.4329 211.7569 1 1 120 2
7.914589 8.352401 -8.097088 2.723301 220.4409 222.4449 212.4249 218.4369 1 1 122 2
-5.451154 -22.56345 7.122756 -6.963947 206.4128 222.4449 222.4449 217.1009 1 1 130 2
-11.87842 -11.25576 -4.893722 -9.342635 206.4128 206.4128 206.4128 206.4128 1 1 134 2
13.34322 12.73948 15.79128 13.95799 206.4128 222.4449 206.4128 211.7569 1 1 139 2
7.086348 5.20619 -7.261854 1.676895 222.4449 222.4449 222.4449 222.4449 1 1 141 2
17.07599 3.054103 0.7821252 6.970741 212.4249 206.4128 222.4449 213.7608 1 1 146 2
-16.92457 -17.52064 -5.374617 -13.27328 214.4289 222.4449 206.4128 214.4289 1 1 149 2
2.816775 16.05661 -5.447565 4.475273 222.4449 222.4449 206.4128 217.1009 1 1 150 2
-29.81359 -10.76615 -8.708586 -16.42944 222.4449 222.4449 222.4449 222.4449 1 1 155 2
-7.970633 1.711767 -7.581255 -4.613374 222.4449 222.4449 222.4449 222.4449 1 1 157 2
19.69763 33.2005 11.07871 21.32561 206.4128 222.4449 222.4449 217.1009 1 1 165 2
2.103052 -21.29051 -9.928654 -9.70537 206.4128 214.4289 222.4449 214.4289 1 1 167 2
-2.386596 4.093096 -0.3746632 0.4439454 222.4449 222.4449 206.4128 217.1009 1 1 168 2
-11.51403 0.6697385 -0.2127967 -3.685697 222.4449 222.4449 220.4409 221.7769 1 1 170 2
-0.06189291 13.67198 16.81581 10.14197 222.4449 222.4449 206.4128 217.1009 1 1 173 2
-7.643019 -1.399467 -9.482979 -6.175155 206.4128 214.4289 216.4329 212.4249 1 1 182 2
18.05811 20.70056 8.679865 15.81284 222.4449 222.4449 222.4449 222.4449 1 1 184 2
-1.369055 -9.394518 -6.67858 -5.814051 222.4449 206.4128 222.4449 217.1009 1 1 188 2
22.70168 31.15739 7.098696 20.31925 210.4208 222.4449 212.4249 215.0969 1 1 193 2
-4.191527 -14.45186 -4.078238 -7.573874 206.4128 206.4128 222.4449 211.7569 1 1 198 2
-24.33785 -12.17598 9.045711 -9.15604 206.4128 208.4168 222.4449 212.4249 1 1 200 2
20.48138 2.784267 15.56108 12.94224 222.4449 214.4289 222.4449 219.7729 1 1 203 2
-1.520502 0.7728031 4.995075 1.415792 206.4128 206.4128 206.4128 206.4128 1 1 207 2
-3.412135 -14.34373 -5.149618 -7.635161 206.4128 206.4128 208.4168 207.0808 2 1 1 2
-0.3586273 -7.149064 -10.19145 -5.899713 222.4449 222.4449 222.4449 222.4449 2 1 7 2
-7.923589 -9.263005 -1.273762 -6.153452 222.4449 222.4449 222.4449 222.4449 2 1 9 2
11.953 7.565807 0.5588679 6.692558 206.4128 206.4128 220.4409 211.0889 2 1 15 2
15.32369 13.61533 -0.01953419 9.639828 206.4128 222.4449 222.4449 217.1009 2 1 17 2
12.8224 12.11734 10.1864 11.70871 206.4128 206.4128 206.4128 206.4128 2 1 20 2
13.99625 -18.78212 -6.640295 -3.808723 206.4128 216.4329 214.4289 212.4249 2 1 23 2
-1.638385 -11.06539 8.400863 -1.434304 206.4128 206.4128 206.4128 206.4128 2 1 26 2
-3.313803 12.5247 -9.271314 -0.02013747 214.4289 222.4449 208.4168 215.0969 2 1 30 2
14.28115 -10.15898 7.715788 3.945987 222.4449 222.4449 206.4128 217.1009 2 1 32 2
-7.440656 -3.917919 -5.365279 -5.574618 222.4449 222.4449 222.4449 222.4449 2 1 36 2
4.623381 12.72192 -7.180984 3.388105 206.4128 220.4409 206.4128 211.0889 2 1 44 2
17.54758 6.702787 13.35189 12.53409 222.4449 222.4449 222.4449 222.4449 2 1 47 2
-9.701349 -5.052943 -1.186959 -5.31375 222.4449 206.4128 222.4449 217.1009 2 1 48 2
0.39737 -0.6809176 5.272186 1.66288 222.4449 222.4449 216.4329 220.4409 2 1 50 2
19.99341 7.112981 5.763142 10.95651 222.4449 222.4449 222.4449 222.4449 2 1 52 2
-22.95194 -26.48709 -18.92982 -22.78962 206.4128 222.4449 206.4128 211.7569 2 1 59 2
1.306706 -29.0078 -9.676564 -12.45922 206.4128 222.4449 206.4128 211.7569 2 1 62 2
10.78069 11.46504 1.222884 7.822872 222.4449 220.4409 222.4449 221.7769 2 1 65 2
7.84415 11.59963 -7.892547 3.850411 206.4128 206.4128 206.4128 206.4128 2 1 69 2
-5.90744 -19.09156 -11.27687 -12.09196 222.4449 210.4208 214.4289 215.7649 2 1 72 2
-11.57718 -5.147651 -10.27916 -9.001332 216.4329 214.4289 216.4329 215.7649 2 1 73 2
-3.8236 -14.91084 -8.453156 -9.062533 222.4449 222.4449 222.4449 222.4449 2 1 79 2
7.764128 9.113135 11.95502 9.610763 206.4128 206.4128 214.4289 209.0848 2 1 81 2
31.36561 -15.14901 29.16015 15.12558 222.4449 222.4449 222.4449 222.4449 2 1 82 2
-11.78031 -3.878685 -1.082376 -5.580456 222.4449 222.4449 206.4128 217.1009 2 1 89 2
-4.767274 -9.730869 -8.823269 -7.773804 208.4168 210.4208 222.4449 213.7608 2 1 91 2
4.550905 -13.92767 3.892153 -1.828204 214.4289 214.4289 210.4208 213.0928 2 1 95 2
-3.867882 5.866924 -9.17458 -2.391846 222.4449 222.4449 222.4449 222.4449 2 1 97 2
14.65118 1.280951 32.4237 16.11861 222.4449 222.4449 222.4449 222.4449 2 1 100 2
-19.6379 -14.73252 -14.29257 -16.22099 222.4449 222.4449 206.4128 217.1009 2 1 103 2
-7.808407 12.02728 -12.84326 -2.874799 222.4449 222.4449 222.4449 222.4449 2 1 108 2
1.268918 -3.963203 -4.383737 -2.359341 206.4128 222.4449 206.4128 211.7569 2 1 110 2
12.77817 23.24891 -1.122324 11.63492 206.4128 222.4449 222.4449 217.1009 2 1 115 2
15.40519 8.024446 37.08058 20.17007 206.4128 222.4449 222.4449 217.1009 2 1 116 2
11.07959 -5.704878 -10.90954 -1.844943 206.4128 222.4449 206.4128 211.7569 2 1 124 2
-7.297398 -11.57296 -3.759185 -7.543181 222.4449 206.4128 214.4289 214.4289 2 1 127 2
-0.08166372 -3.776599 12.14814 2.763294 210.4208 210.4208 206.4128 209.0848 2 1 129 2
9.051022 13.38707 11.39036 11.27615 206.4128 222.4449 206.4128 211.7569 2 1 131 2
1.721018 -1.512939 0.06215837 0.09007908 222.4449 222.4449 222.4449 222.4449 2 1 136 2
-6.223063 -20.75054 19.34364 -2.54332 214.4289 220.4409 206.4128 213.7608 2 1 143 2
-9.970432 -7.601426 11.18042 -2.130478 206.4128 222.4449 222.4449 217.1009 2 1 144 2
-11.55569 -19.02956 13.49004 -5.698406 206.4128 210.4208 222.4449 213.0928 2 1 148 2
-3.090072 -14.86502 -3.006815 -6.987303 206.4128 206.4128 206.4128 206.4128 2 1 152 2
-1.217211 8.781904 -6.134604 0.4766963 212.4249 222.4449 220.4409 218.4369 2 1 154 2
-12.7534 -2.297828 -11.76257 -8.937935 220.4409 222.4449 206.4128 216.4329 2 1 159 2
-16.40881 -13.04253 -13.64584 -14.36572 206.4128 206.4128 206.4128 206.4128 2 1 161 2
-2.291618 5.520557 1.259229 1.496056 218.4369 218.4369 210.4208 215.7649 2 1 164 2
-3.701795 -10.2815 -19.06722 -11.01684 222.4449 222.4449 222.4449 222.4449 2 1 171 2
4.343279 -8.749149 9.232287 1.608806 222.4449 222.4449 206.4128 217.1009 2 1 174 2
