amplitude ID time cond
0.5387441 1 -200.4008 1
0.6344569 1 -198.3968 1
0.6963162 1 -196.3928 1
0.7187658 1 -194.3888 1
0.7048481 1 -192.3848 1
0.6588966 1 -190.3808 1
0.5946736 1 -188.3768 1
0.524652 1 -186.3727 1
0.4624047 1 -184.3687 1
0.4214329 1 -182.3647 1
0.4180633 1 -180.3607 1
0.4732749 1 -178.3567 1
0.5838254 1 -176.3527 1
0.6984901 1 -174.3487 1
0.7634833 1 -172.3447 1
0.7830771 1 -170.3407 1
0.7911826 1 -168.3367 1
0.7952878 1 -166.3327 1
0.7761071 1 -164.3287 1
0.7074833 1 -162.3246 1
0.5828062 1 -160.3206 1
0.4194867 1 -158.3166 1
0.2420066 1 -156.3126 1
0.079812 1 -154.3086 1
-0.03667751 1 -152.3046 1
-0.08730953 1 -150.3006 1
-0.07458773 1 -148.2966 1
-0.02352018 1 -146.2926 1
0.02588635 1 -144.2886 1
0.04488503 1 -142.2846 1
0.05102716 1 -140.2806 1
0.06481161 1 -138.2766 1
0.07235589 1 -136.2726 1
0.07236002 1 -134.2685 1
0.07813615 1 -132.2645 1
0.07225737 1 -130.2605 1
0.02280328 1 -128.2565 1
-0.07417837 1 -126.2525 1
-0.2135229 1 -124.2485 1
-0.386143 1 -122.2445 1
-0.560481 1 -120.2405 1
-0.7047413 1 -118.2365 1
-0.8178028 1 -116.2325 1
-0.9265671 1 -114.2285 1
-1.029836 1 -112.2244 1
-1.096471 1 -110.2204 1
-1.11276 1 -108.2164 1
-1.094931 1 -106.2124 1
-1.053714 1 -104.2084 1
-0.9728538 1 -102.2044 1
-0.8521991 1 -100.2004 1
-0.714103 1 -98.1964 1
-0.5885075 1 -96.19238 1
-0.4978761 1 -94.18838 1
-0.4564791 1 -92.18437 1
-0.4845572 1 -90.18036 1
-0.5719733 1 -88.17635 1
-0.6784907 1 -86.17235 1
-0.7816275 1 -84.16833 1
-0.8701444 1 -82.16433 1
-0.9253251 1 -80.16032 1
-0.9444472 1 -78.15631 1
-0.9332432 1 -76.15231 1
-0.8843241 1 -74.1483 1
-0.7936261 1 -72.14429 1
-0.6737042 1 -70.14028 1
-0.5413359 1 -68.13628 1
-0.4007677 1 -66.13226 1
-0.2592501 1 -64.12826 1
-0.1333813 1 -62.12425 1
-0.03193812 1 -60.12024 1
0.0427957 1 -58.11623 1
0.09011094 1 -56.11222 1
0.1119245 1 -54.10822 1
0.1181635 1 -52.10421 1
0.1281255 1 -50.1002 1
0.1684988 1 -48.09619 1
0.2479341 1 -46.09219 1
0.3435396 1 -44.08818 1
0.4303279 1 -42.08417 1
0.4991282 1 -40.08016 1
0.5515518 1 -38.07615 1
0.5840738 1 -36.07214 1
0.5944465 1 -34.06814 1
0.5837264 1 -32.06413 1
0.5576302 1 -30.06012 1
0.534672 1 -28.05611 1
0.5186042 1 -26.0521 1
0.4927624 1 -24.0481 1
0.4441549 1 -22.04409 1
0.3719574 1 -20.04008 1
0.2873931 1 -18.03607 1
0.2135258 1 -16.03206 1
0.1657032 1 -14.02806 1
0.1328487 1 -12.02405 1
0.106873 1 -10.02004 1
0.09294768 1 -8.016032 1
0.08759886 1 -6.012024 1
0.09067527 1 -4.008016 1
