PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
12.38701 -2.304027 -2.581538 6.964875 25.64237 4.677342 38.17507 11.54827 4.985269 11.05496 1 1 4
-0.8576314 -3.393762 -4.533013 2.514788 24.68485 12.00794 17.56163 12.99409 -4.346609 6.292475 1 1 6
21.43459 -1.143781 4.660012 11.97737 54.3068 25.68728 30.65411 11.91578 17.49408 19.66514 1 1 11
32.78424 17.00842 10.29369 35.27732 46.8099 55.88451 50.35523 42.26137 16.10505 34.08664 1 1 14
27.56951 -6.940403 18.37241 -2.12958 -11.99182 1.090115 10.42103 -18.18552 -15.86514 0.2600672 1 1 16
42.00319 10.65273 33.06369 39.53672 33.68844 33.23478 40.3541 4.327642 30.48288 29.70491 1 1 19
4.315588 8.094584 1.916215 -0.2347991 22.63321 -0.09851241 1.344312 -10.77288 2.420379 3.2909 1 1 22
64.49689 -9.780728 40.31839 31.83493 51.39558 12.80375 76.7289 12.6068 37.23202 35.29295 1 1 27
7.634412 1.632242 8.518861 4.960197 8.155832 -0.3564796 13.64272 0.7378911 1.983156 5.212092 1 1 31
23.31894 6.283066 9.534385 19.09797 24.19251 8.538063 15.94662 12.10765 -8.612721 12.26739 1 1 35
21.21547 -7.502384 6.699264 6.006542 54.15194 11.18199 32.24777 31.07514 17.72026 19.19956 1 1 37
7.661173 7.8329 1.666612 4.687898 -0.3152294 13.8609 14.30622 19.71074 -4.919038 7.165798 1 1 40
14.6577 -10.16014 -12.17335 -6.350862 2.533023 4.282808 36.24653 -0.6532112 7.940785 4.03592 1 1 45
7.876974 3.051167 4.311311 16.13223 9.935735 24.50303 2.307751 11.31119 8.436339 9.762859 1 1 49
8.878532 -0.7939909 17.21891 9.400776 25.64591 3.041796 21.14468 11.24051 2.838037 10.95724 1 1 53
17.94246 -0.6772953 -11.07631 11.99165 34.71275 20.60198 27.09136 38.47084 21.68324 17.86007 1 1 54
15.15261 7.047864 15.12944 24.61188 11.85362 22.83298 11.87368 22.23777 10.39228 15.68135 1 1 58
10.3488 9.337949 23.66247 7.10898 8.115864 18.91085 2.294447 -3.195781 -3.062323 8.169028 1 1 61
-4.024769 6.109547 -0.7461145 -8.27844 7.940251 7.184372 10.58636 18.55773 13.60112 5.658895 1 1 66
-7.784126 3.373888 -10.17957 -10.7213 -18.09934 0.9281622 -16.08592 -11.32528 -13.50942 -9.26699 1 1 68
26.2846 13.79334 6.707294 26.33099 -2.433038 18.38908 3.653871 -1.853861 -6.388896 9.387043 1 1 71
11.5653 10.42532 7.229796 4.947707 -10.38531 -0.5100401 3.96626 -17.78499 -2.156523 0.8108366 1 1 74
-10.28232 -13.14738 -9.712933 -22.99287 9.30676 -0.366759 -9.859921 6.414848 -3.833667 -6.052693 1 1 76
-6.818453 -0.1577801 -10.01149 -3.032947 -8.959947 -1.44205 -9.963662 -15.7065 -12.92342 -7.668472 1 1 80
7.654594 -11.96452 -2.03764 3.48395 -9.290521 -15.54997 12.10072 -11.94514 -5.134284 -3.631423 1 1 84
-2.635239 11.53632 2.117166 6.281349 19.21468 31.69328 -11.17378 20.24796 1.54246 8.758244 1 1 85
-24.11196 7.807535 -21.05914 -11.24811 -18.42246 -11.08009 -18.08851 -1.774837 -12.67879 -12.29515 1 1 87
9.13975 8.057864 9.349967 11.54151 -16.79433 -0.9909492 -7.791805 -14.41004 -10.49988 -1.377546 1 1 92
5.93976 3.900931 -1.532799 -10.07923 6.248811 14.61428 -13.90047 0.8322039 -8.465087 -0.2712888 1 1 94
-3.05325 4.460754 3.312557 15.49992 -11.82569 -10.73144 0.03877027 -11.75286 6.237825 -0.8681571 1 1 96
1.947831 6.453956 6.652851 4.695298 18.6992 12.41341 17.76326 20.77119 13.8396 11.47073 1 1 101
14.65153 18.73385 9.548998 29.36747 13.24446 21.40432 14.37331 7.616579 -12.54931 12.93236 1 1 105
3.594394 -14.66964 -13.5471 -10.73107 26.40102 7.882586 32.16422 15.90778 21.84054 7.649193 1 1 107
18.56127 -5.624197 6.100565 18.84564 -28.34645 -18.86072 -9.124668 -34.26124 -24.67629 -8.598454 1 1 112
16.11802 -16.81285 2.093284 -1.969741 9.809975 -26.27389 39.23463 2.391238 29.88935 6.053335 1 1 113
36.40257 1.662512 22.57548 22.80684 7.373393 18.93625 6.795576 -0.733341 -9.166253 11.85034 1 1 118
9.27407 -7.246105 -5.779093 -8.881207 21.52052 11.59138 22.63995 6.173615 1.96398 5.695234 1 1 120
19.41358 10.47659 -0.4534053 6.30272 11.32377 24.30451 38.23389 15.58375 27.32147 16.94521 1 1 122
-5.549679 -6.265177 -3.366415 -9.8773 8.774228 21.82159 -19.33727 15.34264 -37.6802 -4.015286 1 1 130
33.24435 -7.422438 21.75972 19.40727 8.340876 14.48848 20.01172 -1.992193 -0.1448596 11.96588 1 1 134
8.563001 8.023692 -1.026385 10.69982 0.3109114 13.9938 14.57788 -1.511109 -5.24509 5.37628 1 1 139
19.68628 -16.61371 8.697574 7.517211 34.64932 -2.007618 50.7642 27.56923 30.50457 17.86301 1 1 141
9.792403 5.789032 13.23596 16.22272 9.921518 11.03799 -6.883047 9.740582 0.165502 7.669185 1 1 146
-12.42844 7.073648 -0.45625 2.641785 -21.02466 -7.990263 -16.23985 -22.23678 -25.4246 -10.67616 1 1 149
10.49668 -18.7035 -5.28536 -5.628634 7.303455 11.18819 4.811253 6.368804 13.15397 2.633873 1 1 150
20.24779 6.108192 -2.620942 -5.79731 -6.946719 3.720642 10.74246 -4.843565 6.642464 3.028112 1 1 155
19.43061 12.47931 25.12009 27.22129 -1.455702 18.49812 -10.9047 -7.070628 -19.01594 7.144718 1 1 157
1.510396 6.568748 15.94179 16.14009 -4.407555 4.289952 6.134856 -5.110904 7.979667 5.449672 1 1 165
28.77939 -5.614184 0.06296532 20.29423 28.49415 36.56936 45.46672 33.57011 12.27606 22.21098 1 1 167
-16.7341 -12.05006 -1.877376 3.793634 -15.67563 -23.95038 0.7159662 -13.35911 13.60654 -7.281169 1 1 168
-2.997048 16.06413 -1.929606 6.158237 -2.787503 10.53034 -23.06281 -3.485334 -3.532036 -0.5601807 1 1 170
-1.161087 3.757986 3.431813 15.52118 -4.432837 11.18798 2.228014 -11.60156 -3.399428 1.725785 1 1 173
18.63786 14.76742 23.83185 29.89264 10.73716 14.66913 8.146325 3.576216 12.57365 15.20358 1 1 182
