PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
17.5438 -1.748103 -0.6379864 11.23748 34.98855 9.662524 48.62613 14.42133 13.14822 16.36022 1 1 4
4.158767 -5.95527 -5.896229 8.491167 29.14458 17.10774 26.75269 16.50532 -2.397696 9.767896 1 1 6
26.94343 -3.210141 6.801999 13.72647 57.04304 26.94736 36.27618 13.21264 19.67867 21.93552 1 1 11
39.83216 18.2629 14.93591 38.36569 52.79942 56.86924 57.58789 45.91447 15.4776 37.78281 1 1 14
23.98612 -7.308414 14.48437 -5.628874 -16.66234 -1.022213 8.225605 -20.72463 -14.10648 -2.084095 1 1 16
48.44844 11.56003 39.89934 42.86625 42.05832 35.55573 50.31514 7.90824 35.58037 34.9102 1 1 19
8.65178 7.102777 6.340139 0.3636202 28.01644 -3.542045 13.08222 -9.712757 10.18836 6.721171 1 1 22
62.33251 -7.877339 40.21595 33.5686 59.1835 16.48849 81.65958 21.0736 38.00791 38.29475 1 1 27
6.382021 -1.50474 4.932192 3.676442 7.855044 -3.562296 15.6812 -1.941132 3.695139 3.912653 1 1 31
26.266 -2.065396 8.30553 17.72785 18.60717 4.31192 18.64656 6.002592 -8.390899 9.934594 1 1 35
26.23257 -7.295696 9.133512 9.251107 52.5407 12.1842 38.43078 29.90791 16.6979 20.787 1 1 37
4.586491 10.89356 2.142213 5.237694 -8.593219 11.96064 9.094108 13.06007 -11.28678 4.121641 1 1 40
18.4899 -9.704433 -12.15579 -2.480279 5.259895 6.25836 37.76371 2.287686 7.201706 5.880084 1 1 45
5.030375 -1.410943 -1.157418 11.13514 9.021641 23.60156 4.233581 11.58474 10.13614 8.019423 1 1 49
15.56929 -0.8347217 20.10388 13.56 30.54104 3.615227 29.55404 16.16492 3.001563 14.58614 1 1 53
21.50863 -2.016161 -9.640039 13.80477 35.71361 18.72186 31.2073 40.01383 22.44536 19.08435 1 1 54
18.88565 6.09503 18.20984 26.0207 16.82229 22.65764 20.80223 26.39031 15.83928 19.08033 1 1 58
15.17449 2.813631 23.20347 5.696043 6.467203 16.17886 3.636424 -5.114956 -1.792679 7.362498 1 1 61
-4.73378 5.366886 1.908243 -9.363645 9.662478 3.920302 14.03028 17.35398 14.57824 5.858109 1 1 66
-10.31499 3.625645 -11.74376 -9.453726 -14.67268 1.707866 -13.78838 -8.018822 -12.40152 -8.340042 1 1 68
25.73597 10.79469 6.580724 25.02592 2.541789 19.00859 12.99562 0.3062433 -2.43693 11.17251 1 1 71
15.52054 9.872787 5.953027 7.540647 -6.975627 4.140345 11.59806 -15.56157 0.483376 3.619064 1 1 74
-12.19897 -10.86783 -12.538 -22.94882 9.426266 -1.533195 -8.629849 8.898429 -3.390405 -5.97582 1 1 76
-8.466185 -4.483453 -15.52544 -11.19031 -11.42995 -5.65346 -7.079446 -16.11343 -13.38596 -10.36974 1 1 80
5.20509 -9.29681 1.147034 5.166872 -11.18839 -15.28743 6.996197 -14.23969 -5.191668 -4.076533 1 1 84
