Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
-0.04247863 0.003521228 -0.2499648 -0.1765188 -0.4837475 -0.6100639 -0.05830838 -0.2668576 -0.2618583 -0.3550111 0.1493014 -0.2586441 -0.1943074 -0.6953369 -0.4922409 -0.5723648 -0.520673 -0.002604793 0.09197061 0.1789335 -0.4634817 -0.2994955 0.04020833 0.6671913 0.393658 0.7121381 -0.5486743 -0.222429 -0.06825008 0.4336541 0.7547794 0.4331584 0.7192689 -0.1062597 0.1672375 0.2496517 0.5385782 0.01250048 0.009277415 -0.11184 -200.4008 1
-0.00510321 0.06366853 -0.2308965 -0.2047241 -0.4859782 -0.6155121 -0.07997472 -0.2620787 -0.2904074 -0.3769583 0.1429614 -0.2578032 -0.2251202 -0.6940205 -0.4956461 -0.576019 -0.5479369 -0.0160714 0.1012164 0.1133071 -0.4688998 -0.2857892 0.04392875 0.6699695 0.3963982 0.703621 -0.5174864 -0.1971167 -0.06004419 0.4378965 0.7950652 0.4015013 0.7446289 -0.07516796 0.1728656 0.256417 0.5699542 0.01228925 0.009692946 -0.1110671 -198.3968 1
0.09982689 0.1627775 -0.2140135 -0.2272561 -0.4846092 -0.616888 -0.1098373 -0.244534 -0.3030899 -0.3864255 0.1379287 -0.2444413 -0.231047 -0.6906027 -0.4916643 -0.5756036 -0.5704248 -0.01797887 0.09964246 0.05490965 -0.4668074 -0.2717378 0.0347339 0.6667325 0.3885735 0.6896431 -0.4911544 -0.1797452 -0.06727565 0.4160517 0.80525 0.3770371 0.7372884 -0.05846306 0.1787768 0.2613859 0.5753851 0.007688169 0.01070792 -0.1278436 -196.3928 1
0.02303048 0.1806374 -0.2023277 -0.2269907 -0.4782322 -0.6045638 -0.1242704 -0.2308158 -0.3146135 -0.3703697 0.1497089 -0.2149548 -0.1987582 -0.6732056 -0.4716933 -0.5675696 -0.5859383 -0.02096395 0.07507622 0.0290173 -0.4627651 -0.2549672 0.01582326 0.6751865 0.380696 0.6873297 -0.4739637 -0.1661884 -0.06288894 0.3917912 0.8154784 0.3569943 0.7418339 -0.04308169 0.1846361 0.2649532 0.5859318 -0.001724878 0.008395145 -0.1418353 -194.3888 1
-0.03306944 0.2029608 -0.2140517 -0.2369024 -0.4714801 -0.5930104 -0.1437631 -0.2134294 -0.3545224 -0.3575269 0.1590036 -0.1808864 -0.1710259 -0.6629838 -0.4504028 -0.5575132 -0.5977052 -0.01840824 0.04117312 0.0115173 -0.4538638 -0.234027 -0.007364667 0.6815001 0.3818144 0.677226 -0.4483509 -0.1515561 -0.05654419 0.3731731 0.8007977 0.3336517 0.7332682 -0.02516647 0.2007161 0.2633228 0.5827997 0.01118969 0.02189281 -0.1230827 -192.3848 1
-0.07285573 0.2272218 -0.2374752 -0.2615078 -0.4616275 -0.5759633 -0.1559242 -0.2188595 -0.3847974 -0.3577488 0.1625589 -0.1721676 -0.1468459 -0.6454332 -0.4284444 -0.5471653 -0.6129257 -0.0174989 -0.003209524 0.01269705 -0.4422345 -0.2108614 -0.03785784 0.6787555 0.3793496 0.6576357 -0.4211731 -0.1360432 -0.04526308 0.3561172 0.773286 0.3158987 0.7266315 -0.004164236 0.2221047 0.2589702 0.5883548 0.03994307 0.03812138 -0.08468863 -190.3808 1
-0.1561606 0.2408203 -0.2481019 -0.2779369 -0.4551603 -0.5547606 -0.1576817 -0.2470899 -0.3590263 -0.3665128 0.1699597 -0.185324 -0.1189804 -0.6298522 -0.4075544 -0.5416928 -0.6319944 -0.02482709 -0.05415505 0.04897007 -0.4282628 -0.1905876 -0.0724115 0.6659683 0.3756113 0.6314882 -0.3911406 -0.1152012 -0.02044214 0.3358127 0.7321002 0.3103584 0.7240585 0.02046302 0.2555665 0.2520147 0.5992086 0.0731464 0.06060159 -0.04760848 -188.3768 1
-0.2435788 0.2532352 -0.2529536 -0.2751842 -0.4525211 -0.5367658 -0.1566522 -0.2774024 -0.2773619 -0.3935402 0.1688059 -0.1938205 -0.09857221 -0.6183733 -0.3923167 -0.535112 -0.6475064 -0.03555391 -0.1045851 0.1063519 -0.4091939 -0.1768115 -0.103494 0.6493015 0.3692814 0.5977663 -0.3588837 -0.09312436 0.009913702 0.3142322 0.6842529 0.3148085 0.7215606 0.04213523 0.2938446 0.2404957 0.6042788 0.1020514 0.08776779 -0.01395275 -186.3727 1
-0.2174182 0.2942345 -0.2560372 -0.2711464 -0.446065 -0.5308755 -0.1731351 -0.2931145 -0.1766854 -0.4486111 0.1388104 -0.1933354 -0.09096171 -0.6122162 -0.3867901 -0.5238011 -0.6510435 -0.04306593 -0.1433736 0.1601158 -0.3822233 -0.1666381 -0.1214802 0.624992 0.3531125 0.5587142 -0.3239263 -0.0759809 0.03619708 0.2931204 0.6434523 0.3134697 0.6986607 0.05563921 0.325615 0.2304457 0.6019555 0.131526 0.1120606 0.02236451 -184.3687 1
-0.2562082 0.2731078 -0.2567107 -0.2655212 -0.4287164 -0.5245678 -0.1940681 -0.3191668 -0.08184274 -0.4821077 0.09051805 -0.2110637 -0.07344411 -0.59032 -0.3759673 -0.5013224 -0.6382161 -0.04704716 -0.1779777 0.204731 -0.3478314 -0.1454867 -0.1303148 0.6070513 0.3167378 0.5364531 -0.2866023 -0.05397828 0.07569544 0.2737283 0.6301123 0.2938032 0.6670322 0.07764265 0.3557354 0.2276459 0.6079451 0.160527 0.147346 0.07255892 -182.3647 1
-0.2495487 0.2445679 -0.2478981 -0.2821866 -0.4162551 -0.5191514 -0.2175369 -0.3422994 -0.009534361 -0.4822652 0.0401988 -0.2616754 -0.06069124 -0.5556267 -0.3758589 -0.4767616 -0.6241887 -0.03983804 -0.2144894 0.2316817 -0.3193912 -0.1248005 -0.1452304 0.5999334 0.2620371 0.517018 -0.2519842 -0.04648733 0.1232802 0.2477372 0.6331938 0.2562825 0.6327162 0.0887493 0.3995463 0.2258991 0.6127927 0.1720559 0.1926421 0.1075747 -180.3607 1
-0.2516129 0.1916951 -0.2362501 -0.3175119 -0.4052572 -0.5107281 -0.2364139 -0.3581015 0.03326035 -0.4687285 0.02231403 -0.3369905 -0.06027519 -0.5246431 -0.3793479 -0.4522675 -0.615075 -0.02597727 -0.2644095 0.2521762 -0.2965553 -0.109221 -0.1750214 0.6145895 0.1950617 0.5250925 -0.2188385 -0.0490725 0.1751817 0.216198 0.6660131 0.2154266 0.6385565 0.09269668 0.4410487 0.22072 0.6390128 0.1739869 0.2324526 0.1280393 -178.3567 1
-0.2673821 0.1135243 -0.2329959 -0.3516659 -0.3954983 -0.5013966 -0.2288992 -0.3673109 0.04890826 -0.468392 0.05062846 -0.4177674 -0.05623335 -0.4925711 -0.3772349 -0.4296999 -0.6123646 -0.01580805 -0.3228113 0.2750221 -0.2806737 -0.09987792 -0.2135249 0.6448678 0.1240648 0.5580401 -0.1927431 -0.0630857 0.2308295 0.1811974 0.7094371 0.1798456 0.6732371 0.09404646 0.4975119 0.209337 0.6726516 0.159078 0.2798739 0.1355379 -176.3527 1
-0.2089436 0.07346739 -0.2380234 -0.3736577 -0.3863778 -0.4957226 -0.2065262 -0.3676296 0.02773349 -0.49732 0.1009159 -0.4677935 -0.05835175 -0.4736072 -0.3766524 -0.4095888 -0.6131306 -0.008635771 -0.3725981 0.2854158 -0.270308 -0.09677519 -0.2501054 0.6717889 0.06523105 0.5785425 -0.1698208 -0.08236252 0.2745758 0.139566 0.7439908 0.1448194 0.7054388 0.09109315 0.5573696 0.1914955 0.6984737 0.1358583 0.3270094 0.1399932 -174.3487 1
-0.1973728 0.03570171 -0.2455491 -0.368512 -0.3801312 -0.492942 -0.1845981 -0.3724137 -0.02260325 -0.5383464 0.1473694 -0.4719723 -0.08636402 -0.4468371 -0.3744367 -0.3907877 -0.611989 -0.005490935 -0.4113494 0.2740354 -0.2579932 -0.09330689 -0.2749375 0.6857912 0.03317783 0.5747607 -0.1418943 -0.08705645 0.3128925 0.1030265 0.7610384 0.1153032 0.7153346 0.1033763 0.6133649 0.1869271 0.7078702 0.1176127 0.3745393 0.1586266 -172.3447 1
-0.2819915 -0.03039091 -0.2558691 -0.3478435 -0.3698028 -0.4939991 -0.1818012 -0.3785268 -0.07696665 -0.573615 0.1674972 -0.4337641 -0.1417177 -0.402553 -0.3709975 -0.3643074 -0.61107 -0.003906493 -0.4286886 0.2287799 -0.2390047 -0.08039048 -0.2844056 0.6845798 0.0272985 0.581596 -0.1166232 -0.07432139 0.3505619 0.08703118 0.7803871 0.1038444 0.7212177 0.1372803 0.6443277 0.2035913 0.715555 0.1124394 0.4020603 0.1931586 -170.3407 1
-0.2632943 -0.04024397 -0.2657456 -0.3418089 -0.3615419 -0.5066878 -0.2095888 -0.379404 -0.1383829 -0.5920845 0.1490861 -0.3852108 -0.2140691 -0.3714142 -0.3661991 -0.3339844 -0.6088838 0.005155208 -0.4232009 0.1470202 -0.2116342 -0.05441839 -0.2851883 0.6646149 0.03055472 0.5761952 -0.09190821 -0.0601188 0.3741047 0.08474769 0.7642182 0.1067887 0.6930727 0.1700174 0.6737021 0.2289889 0.6852731 0.1266637 0.4337014 0.2382193 -168.3367 1
-0.2461993 -0.02608373 -0.2730633 -0.3531945 -0.3427512 -0.5140036 -0.2335851 -0.3698273 -0.2123461 -0.5812234 0.1128729 -0.3484401 -0.2801219 -0.3495317 -0.3540161 -0.2986241 -0.6115561 0.02034415 -0.4126786 0.05160895 -0.1835728 -0.02000593 -0.2788221 0.634505 0.03982186 0.5454481 -0.07299872 -0.04341294 0.3823971 0.08881006 0.7543003 0.1197202 0.6767799 0.1948755 0.6713927 0.2498445 0.6683665 0.1434209 0.4377477 0.2768957 -166.3327 1
-0.2269259 0.01787915 -0.2778916 -0.3717465 -0.31779 -0.5173419 -0.2298843 -0.3499998 -0.2944712 -0.5580637 0.05905616 -0.3343373 -0.3349751 -0.3190385 -0.3305696 -0.2672337 -0.6121091 0.04044204 -0.4163236 -0.0393667 -0.1554843 0.01716967 -0.2749805 0.6039435 0.04551982 0.5042853 -0.05869888 -0.02594436 0.3789649 0.09368546 0.7303725 0.1348283 0.6502883 0.215137 0.6649798 0.2663285 0.6484053 0.1469532 0.4354017 0.2995459 -164.3287 1
-0.2169381 0.05906786 -0.2831417 -0.3733448 -0.2783328 -0.5200183 -0.2003529 -0.3250014 -0.3588579 -0.5207898 -0.006333505 -0.3309272 -0.3620882 -0.2954316 -0.2968276 -0.2387509 -0.5974669 0.05947347 -0.4320384 -0.1164655 -0.1287409 0.0503644 -0.2755698 0.5795383 0.03933067 0.4835941 -0.05257231 -0.009226283 0.3765272 0.09730183 0.7046663 0.1394586 0.6265923 0.2284894 0.6421745 0.2657301 0.6343122 0.1329358 0.4177934 0.3015882 -162.3246 1
-0.2393897 0.07335708 -0.2854256 -0.3402862 -0.2314629 -0.5250413 -0.1568206 -0.3028495 -0.3864718 -0.4684829 -0.06393724 -0.3273759 -0.3502834 -0.2740833 -0.2558112 -0.2066628 -0.5723655 0.07559122 -0.4413325 -0.1598404 -0.1111869 0.07856736 -0.2685186 0.5659127 0.03610985 0.4698415 -0.0570275 0.001020922 0.3744727 0.0941103 0.6719566 0.1246836 0.5972814 0.2242703 0.6197598 0.2457365 0.6080541 0.09938294 0.398715 0.2749402 -160.3206 1
-0.1079489 0.1305869 -0.2954268 -0.3212148 -0.1870296 -0.5360368 -0.1384671 -0.2813357 -0.3890658 -0.442298 -0.115471 -0.3192484 -0.3189207 -0.2540426 -0.2202699 -0.1706416 -0.5370077 0.08914654 -0.424301 -0.1779448 -0.1024971 0.1014883 -0.2610224 0.546115 0.03373086 0.4579598 -0.07160525 -0.01002075 0.3532065 0.08496372 0.6326243 0.08764859 0.5607888 0.1889442 0.5756676 0.2024115 0.5685267 0.06533944 0.3643209 0.2372761 -158.3166 1
-0.1661746 0.1050158 -0.2957575 -0.2947495 -0.1502438 -0.5269083 -0.1053297 -0.2667521 -0.3610589 -0.4194588 -0.1416569 -0.3058513 -0.2777184 -0.2294777 -0.1848878 -0.1330322 -0.5056126 0.08204899 -0.3760642 -0.1657597 -0.09813634 0.1156384 -0.2476627 0.5264332 0.04104503 0.4640351 -0.08383271 -0.009897458 0.3540804 0.08795346 0.583613 0.07655463 0.5218898 0.1702408 0.546986 0.161533 0.5230383 0.02947762 0.3400612 0.2068634 -156.3126 1
-0.1279377 0.121427 -0.294819 -0.2923921 -0.1249746 -0.5073783 -0.08786006 -0.2541593 -0.3330502 -0.4039721 -0.1446088 -0.3033066 -0.245392 -0.2141349 -0.167855 -0.09557878 -0.4778588 0.06840278 -0.319747 -0.1363831 -0.09889789 0.1201159 -0.2357186 0.4981542 0.04762398 0.4310288 -0.09142897 -0.01633202 0.3551238 0.08677761 0.5242738 0.0859341 0.4801956 0.1429014 0.5152051 0.1212484 0.4725711 0.002403836 0.3117859 0.1701659 -154.3086 1
-0.04955491 0.1473152 -0.2895707 -0.2878638 -0.101941 -0.4734084 -0.0789936 -0.2642672 -0.3082434 -0.3845556 -0.1259638 -0.3115311 -0.2232162 -0.2062741 -0.1584982 -0.05790365 -0.4503951 0.05676874 -0.2749768 -0.09767807 -0.1033393 0.1220863 -0.2280649 0.4686897 0.04231357 0.4151924 -0.09430356 -0.02572638 0.3560492 0.07345851 0.475663 0.1018417 0.451474 0.1134394 0.4725464 0.08046844 0.429833 -0.01488789 0.2801841 0.1282097 -152.3046 1
-0.07279451 0.1020638 -0.2785154 -0.2607365 -0.07755104 -0.4150263 -0.06011832 -0.2772965 -0.2837965 -0.3492714 -0.1021193 -0.3099207 -0.2029567 -0.1927495 -0.1476543 -0.03032172 -0.4263578 0.04399859 -0.2355029 -0.05632384 -0.1109817 0.1188011 -0.2180459 0.4497436 0.0453471 0.3899798 -0.09311038 -0.02655922 0.3677899 0.0538695 0.450208 0.1162413 0.4417673 0.09561437 0.4358761 0.04304913 0.4016805 -0.03721062 0.2502354 0.08380238 -150.3006 1
-0.0587059 0.0649666 -0.2462445 -0.2367049 -0.0562891 -0.351722 -0.05436665 -0.2709925 -0.2549146 -0.3119138 -0.09132373 -0.2870816 -0.190612 -0.1872405 -0.1414907 -0.014268 -0.4018227 0.04367006 -0.1921341 -0.02322498 -0.120273 0.1143209 -0.2023249 0.4317328 0.05576982 0.3783666 -0.089825 -0.02854495 0.3636477 0.03384763 0.4176244 0.1151723 0.4226087 0.07870222 0.405089 0.01093382 0.3558105 -0.05581854 0.2229888 0.04428033 -148.2966 1
