Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
-0.3174405 -0.00808899 -0.6434413 -0.3541865 -0.8339721 -1.024378 -0.1368608 -0.5353696 -0.1256125 -0.3984082 0.5890743 -0.154436 0.370778 -1.094732 -0.8772668 -1.173019 -0.7200929 0.1130693 -0.2576226 0.7046629 -0.4354905 -0.2852856 -0.0396959 1.012881 0.2693362 1.248931 -0.2204784 -0.2358204 0.2075007 0.07494297 1.155195 0.1824506 0.8700752 0.1110031 0.5788655 0.08560335 0.7231845 0.02032932 0.3380531 -0.1726457 -200.4008 1
-0.2898382 0.02159069 -0.6097866 -0.3672962 -0.7769817 -0.973491 -0.1605134 -0.5147399 -0.1265355 -0.3555088 0.5668496 -0.1543369 0.3532962 -1.057748 -0.808724 -1.145779 -0.6988915 0.1204932 -0.2179902 0.6649085 -0.4083583 -0.2691211 -0.01352143 1.007847 0.2621609 1.211959 -0.2114925 -0.2041818 0.1653209 0.07251143 1.142469 0.1208771 0.8479787 0.1383903 0.5611867 0.1074253 0.6819059 0.02922456 0.3034163 -0.1794711 -198.3968 1
-0.2447231 0.05913279 -0.5557763 -0.3790345 -0.7194175 -0.912667 -0.1773281 -0.4766511 -0.1332171 -0.3072467 0.5549904 -0.1562233 0.3206435 -1.012178 -0.737195 -1.114754 -0.6822655 0.1244242 -0.1798915 0.6132203 -0.3793502 -0.2584686 -0.008990548 0.9917664 0.2457574 1.168616 -0.2064579 -0.1752878 0.1206434 0.05849671 1.114989 0.09248049 0.8210032 0.1547328 0.5437799 0.1251411 0.6344483 0.03334503 0.2649894 -0.1982797 -196.3928 1
-0.2881099 0.06206993 -0.4964451 -0.3949985 -0.6722158 -0.8535627 -0.1872784 -0.4398036 -0.139667 -0.2577592 0.5805421 -0.1530164 0.2927774 -0.9649246 -0.6712092 -1.076315 -0.6717177 0.1268333 -0.1640713 0.5690193 -0.359642 -0.2527204 -0.02237327 0.9788406 0.2384023 1.128649 -0.2040824 -0.1630037 0.09195796 0.04111456 1.081171 0.07435057 0.8193505 0.1508209 0.5368173 0.1289555 0.5928032 0.03138237 0.2316527 -0.2201943 -194.3888 1
-0.3998309 0.0476111 -0.4590563 -0.3999433 -0.6304731 -0.803632 -0.1879527 -0.3917779 -0.1494887 -0.2392541 0.614944 -0.1416483 0.2649166 -0.9186313 -0.623439 -1.032539 -0.6671914 0.1202464 -0.1712375 0.516011 -0.3487993 -0.2497846 -0.04023094 0.9591678 0.2615625 1.07235 -0.1912015 -0.1510563 0.0753459 0.03746637 1.030149 0.06138841 0.8244874 0.1474339 0.5347347 0.1254445 0.5542504 0.04372538 0.2170183 -0.213514 -192.3848 1
-0.5167836 0.04790362 -0.4337259 -0.3861603 -0.594241 -0.7628592 -0.1733318 -0.3620357 -0.1375167 -0.276708 0.6182777 -0.1542367 0.2364264 -0.872125 -0.5963683 -0.9918088 -0.6721189 0.0965826 -0.2044401 0.4667183 -0.3444195 -0.2459031 -0.05903104 0.9316524 0.2952196 0.9996803 -0.1719714 -0.1351269 0.08515664 0.04797653 0.961999 0.06126132 0.8159115 0.1490037 0.5589937 0.1212002 0.5310975 0.07118807 0.2316708 -0.1828754 -190.3808 1
-0.6218346 0.05745524 -0.3960616 -0.3421765 -0.5684744 -0.7191752 -0.1509469 -0.3585407 -0.07147749 -0.342473 0.597667 -0.1947542 0.2181073 -0.8356055 -0.5860153 -0.9593178 -0.6865251 0.05706559 -0.2598625 0.4458254 -0.3468956 -0.247886 -0.08391317 0.8997856 0.3203991 0.9341267 -0.1592662 -0.1204114 0.1234596 0.06401376 0.8889697 0.07577534 0.7965152 0.1472836 0.6130965 0.1094122 0.5276024 0.09919414 0.2655132 -0.1581859 -188.3768 1
-0.6907421 0.06483275 -0.3639631 -0.2742019 -0.5526721 -0.6736061 -0.1353521 -0.3617143 0.03295076 -0.4102159 0.5599732 -0.2245897 0.2098259 -0.8225229 -0.586725 -0.9340222 -0.700231 0.007408456 -0.308133 0.4554254 -0.3506269 -0.267966 -0.1062599 0.8650305 0.3400482 0.8637851 -0.1525008 -0.1050302 0.1693815 0.08543206 0.8167328 0.1034402 0.7725683 0.1440248 0.6712164 0.08876982 0.5313119 0.1234058 0.2993768 -0.1461752 -186.3727 1
-0.7505198 0.06600303 -0.3535419 -0.2140945 -0.5313316 -0.6411297 -0.1419117 -0.3676071 0.137962 -0.4711688 0.4754511 -0.2191732 0.2046288 -0.813862 -0.5879272 -0.9089229 -0.6974909 -0.0418507 -0.3260951 0.474528 -0.3384903 -0.2883355 -0.1043778 0.8204492 0.3556482 0.791785 -0.1362746 -0.07353772 0.2059819 0.1156955 0.7451353 0.1423635 0.7265202 0.1589213 0.7123144 0.08349235 0.5266368 0.1576471 0.329458 -0.1195598 -184.3687 1
-0.7716501 0.05516191 -0.3597755 -0.1851688 -0.5061138 -0.6377532 -0.1778718 -0.393202 0.2183222 -0.5064855 0.3361748 -0.2252664 0.2084499 -0.7850419 -0.5910017 -0.8799347 -0.6729496 -0.0827226 -0.3363171 0.4922023 -0.3054491 -0.2897215 -0.08569951 0.7684966 0.3528717 0.7259746 -0.1039432 -0.02638418 0.2314658 0.140752 0.6807474 0.1783434 0.6637692 0.1924984 0.73785 0.1020774 0.5155446 0.2066941 0.3664158 -0.0587339 -182.3647 1
-0.7554237 0.03959068 -0.3552785 -0.1929446 -0.4831596 -0.6481826 -0.2297432 -0.4293966 0.2708077 -0.5023797 0.2025615 -0.2809543 0.2122961 -0.7383822 -0.5974883 -0.8404623 -0.6419533 -0.1069453 -0.3685654 0.5113173 -0.2640836 -0.2774199 -0.07622205 0.7327956 0.3150367 0.6615323 -0.07143617 0.01233145 0.2554994 0.1449157 0.6378154 0.1966343 0.6189927 0.2245912 0.7564547 0.1297808 0.5128906 0.2566662 0.4123229 0.01550457 -180.3607 1
-0.7802163 0.0005209803 -0.3431517 -0.2286404 -0.4627343 -0.6489323 -0.2666907 -0.4608795 0.2895714 -0.4870563 0.1362737 -0.3813878 0.1931659 -0.6811774 -0.5950248 -0.7868567 -0.6180732 -0.1094369 -0.4298906 0.5194743 -0.221021 -0.2621436 -0.08565842 0.7221518 0.2512793 0.627998 -0.0447389 0.03910216 0.2873951 0.1308192 0.6200638 0.201518 0.6049507 0.2551771 0.7868395 0.161879 0.5305033 0.3053168 0.4654999 0.0883079 -178.3567 1
-0.7579148 -0.01824983 -0.3425565 -0.2723971 -0.4484133 -0.6375086 -0.260204 -0.4836614 0.2792052 -0.4994028 0.1345582 -0.4936095 0.1440834 -0.6287775 -0.57969 -0.733113 -0.6063926 -0.1052469 -0.5022939 0.5023385 -0.1875668 -0.2515013 -0.1105675 0.7259709 0.1777266 0.6304533 -0.02664391 0.04911168 0.3278345 0.1064194 0.6193771 0.1948882 0.600162 0.2776575 0.8310681 0.1849144 0.5655445 0.3354609 0.5232875 0.1397908 -176.3527 1
-0.7168759 -0.01499913 -0.3783055 -0.3153655 -0.4378453 -0.6259591 -0.2270515 -0.5121083 0.2384739 -0.5418751 0.1574753 -0.5776442 0.07427931 -0.5772508 -0.5557245 -0.6845158 -0.6000457 -0.09822569 -0.5686724 0.4689365 -0.1580826 -0.2359417 -0.135383 0.7345992 0.1187288 0.6284493 -0.004651099 0.05898409 0.3743628 0.07744564 0.6295468 0.1818136 0.5870665 0.3037797 0.8869825 0.2045383 0.6141381 0.3557827 0.5846434 0.1811185 -174.3487 1
-0.7086132 -0.01843999 -0.4399202 -0.3578621 -0.4297313 -0.6197923 -0.2017007 -0.5587481 0.1780623 -0.5881897 0.1767211 -0.5974193 -0.003065696 -0.5195234 -0.5269647 -0.6370138 -0.5929647 -0.08688267 -0.6192541 0.4159622 -0.1213746 -0.2081096 -0.1515393 0.7292339 0.0812746 0.5912876 0.02595127 0.07941132 0.4214735 0.05224601 0.6389066 0.1688422 0.5609624 0.3430731 0.9412432 0.2301185 0.659651 0.3776492 0.6421171 0.2331823 -172.3447 1
-0.6963397 -0.01786781 -0.4901422 -0.3895157 -0.4230434 -0.6217276 -0.2049783 -0.5870326 0.126326 -0.6150569 0.1726662 -0.5396485 -0.08135869 -0.4608235 -0.505912 -0.5906999 -0.5930118 -0.07879489 -0.6324933 0.3187726 -0.08031525 -0.168791 -0.1571012 0.6906858 0.0679491 0.5665252 0.04678129 0.1041127 0.4537196 0.04352617 0.634265 0.178902 0.5246559 0.3918201 0.9599414 0.2673734 0.6756214 0.4038349 0.6732082 0.2950913 -170.3407 1
