Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time emo
0.2324831 0.01513141 0.1435117 0.001148822 -0.1335229 -0.1957503 0.02024398 0.001654532 -0.3981041 -0.311614 -0.2904714 -0.362852 -0.7593928 -0.2959416 -0.107215 0.02828954 -0.3212534 -0.1182788 0.4415638 -0.3467958 -0.4914726 -0.3137053 0.1201124 0.3215017 0.5179797 0.175345 -0.8768702 -0.2090378 -0.3440008 0.7923653 0.3543639 0.6838661 0.5684626 -0.3235224 -0.2443905 0.4137 0.3539716 0.004671673 -0.3194983 -0.05103413 -200.4008 1
0.2796316 0.1057463 0.1479936 -0.04215197 -0.1949747 -0.2575332 0.0005639513 -0.009417406 -0.4542792 -0.3984077 -0.2809269 -0.3612695 -0.8035365 -0.3302933 -0.1825683 -0.006259223 -0.3969821 -0.152636 0.4204231 -0.4382942 -0.5294416 -0.3024575 0.1013789 0.3320919 0.5306357 0.1952833 -0.8234803 -0.1900516 -0.2854092 0.8032816 0.4476607 0.6821256 0.6412791 -0.2887262 -0.2154555 0.4054087 0.4580025 -0.004646108 -0.2840305 -0.04266303 -198.3968 1
0.444377 0.2664221 0.1277491 -0.07547772 -0.2498011 -0.3211088 -0.04234653 -0.01241689 -0.4729626 -0.4656042 -0.2791329 -0.3326594 -0.7827375 -0.3690268 -0.2461335 -0.03645285 -0.4585843 -0.1603819 0.3791764 -0.503401 -0.5542648 -0.2850069 0.07845834 0.3416989 0.5313895 0.2106704 -0.775851 -0.1842026 -0.2551947 0.7736064 0.4955111 0.6615937 0.6535734 -0.271659 -0.1862261 0.3976307 0.5163221 -0.01796863 -0.2435737 -0.0574074 -196.3928 1
0.3341708 0.2992049 0.09178977 -0.05898309 -0.2842486 -0.3555649 -0.06126247 -0.02182783 -0.48956 -0.4829801 -0.2811243 -0.2768931 -0.690294 -0.3814865 -0.2721774 -0.05882395 -0.5001587 -0.1687613 0.3142237 -0.5109847 -0.565888 -0.2572139 0.0540198 0.3715322 0.5229897 0.24601 -0.743845 -0.1693732 -0.2177359 0.7424676 0.5497855 0.639638 0.6643173 -0.2369843 -0.1675449 0.4009508 0.5790603 -0.03483212 -0.2148624 -0.06347634 -194.3888 1
0.333692 0.3583104 0.03095285 -0.07386155 -0.3124873 -0.3823889 -0.09957358 -0.03508085 -0.5595561 -0.4757995 -0.2969368 -0.2201245 -0.6069685 -0.4073367 -0.2773666 -0.08248739 -0.5282189 -0.1570629 0.2535838 -0.4929764 -0.5589283 -0.2182695 0.02550164 0.4038324 0.5020663 0.2821018 -0.7055004 -0.1520556 -0.1884342 0.7088798 0.5714465 0.605915 0.6420491 -0.1977668 -0.1333025 0.4012011 0.611349 -0.02134605 -0.1732327 -0.03265157 -192.3848 1
0.3710722 0.40654 -0.04122433 -0.1368553 -0.3290139 -0.3890676 -0.1385167 -0.07568336 -0.6320781 -0.4387895 -0.29316 -0.1900987 -0.5301182 -0.4187414 -0.2605205 -0.1025221 -0.5537326 -0.1315804 0.1980211 -0.4413242 -0.5400495 -0.1758195 -0.01668465 0.4258584 0.4634796 0.3155909 -0.6703748 -0.1369593 -0.1756829 0.6642578 0.5845732 0.570536 0.6373513 -0.1573322 -0.1147842 0.3967403 0.6456121 0.008698029 -0.1554281 0.01349819 -190.3808 1
0.3095134 0.4241852 -0.1001422 -0.2136972 -0.3418463 -0.3903461 -0.1644165 -0.1356391 -0.646575 -0.3905522 -0.2577478 -0.1758937 -0.4560681 -0.4240994 -0.2290937 -0.1240678 -0.5774637 -0.1067198 0.1515525 -0.3478852 -0.5096299 -0.1332892 -0.06090986 0.432151 0.4308234 0.3288499 -0.623015 -0.1099911 -0.164344 0.6076117 0.5752307 0.5449415 0.651602 -0.1063576 -0.1019635 0.3946172 0.6708145 0.0470986 -0.1443101 0.06296892 -188.3768 1
0.2035844 0.4416375 -0.141944 -0.2761664 -0.3523701 -0.3999254 -0.1779523 -0.1930905 -0.5876745 -0.3768645 -0.2223614 -0.1630513 -0.4069703 -0.4142241 -0.1979085 -0.1362019 -0.5947816 -0.07851632 0.09896268 -0.2427216 -0.4677607 -0.08565714 -0.100728 0.4335722 0.3985144 0.3317477 -0.5652665 -0.08121857 -0.1495541 0.5430322 0.551773 0.5261766 0.6705529 -0.05975433 -0.08352733 0.3922215 0.6772455 0.08069696 -0.1238411 0.1182697 -186.3727 1
0.3156834 0.5224661 -0.1585324 -0.3281982 -0.3607987 -0.4206213 -0.2043585 -0.2186218 -0.4913327 -0.4260536 -0.1978303 -0.1674976 -0.3865522 -0.4105703 -0.1856528 -0.1386793 -0.604596 -0.04428125 0.03934788 -0.1542964 -0.4259563 -0.0449407 -0.1385825 0.4295347 0.3505768 0.3256436 -0.511578 -0.0784241 -0.1335879 0.4705452 0.5417693 0.4845758 0.6708016 -0.04764284 -0.06108454 0.3773991 0.6772743 0.1054049 -0.1053368 0.1642888 -184.3687 1
0.2592336 0.4910536 -0.1536461 -0.3458738 -0.3513188 -0.4113826 -0.2102643 -0.2451317 -0.3820077 -0.45773 -0.1551387 -0.1968609 -0.3553381 -0.3955985 -0.1609327 -0.1227102 -0.6034832 -0.01137167 -0.01963844 -0.08274021 -0.3902138 -0.001251841 -0.1749301 0.4456061 0.2806039 0.3469317 -0.4692614 -0.08157241 -0.08007489 0.4067047 0.5794771 0.409263 0.6702954 -0.03721312 -0.02637925 0.3532146 0.7003456 0.1143598 -0.07172371 0.2038517 -182.3647 1
